group;instname;tw_shift;cap_incr
40R_40V_02F_06M;LR1_2_1;0.048;0
40R_40V_02F_06M;LR1_2_2;0.2932;0.0188
40R_40V_02F_06M;LR1_2_3;0.0268;0
40R_40V_02F_06M;LR1_2_4;0.0766;0.006
40R_40V_02F_06M;LR1_2_5;0.0071;0
40R_40V_02F_06M;LR2_2_1;0.0027;0
40R_40V_02F_06M;LR2_2_2;4e-4;0
40R_40V_02F_06M;LR2_2_3;0;0
40R_40V_02F_06M;LR2_2_4;0;0
40R_40V_02F_06M;LR2_2_5;0;0
40R_40V_04F_06M;LR1_2_1;0.1806;0
40R_40V_04F_06M;LR1_2_2;0.112;0.0062
40R_40V_04F_06M;LR1_2_3;0.0566;0
40R_40V_04F_06M;LR1_2_4;0.0714;0.006
40R_40V_04F_06M;LR1_2_5;0.0482;0.006
40R_40V_04F_06M;LR2_2_1;0.0065;0
40R_40V_04F_06M;LR2_2_2;4e-4;0
40R_40V_04F_06M;LR2_2_3;0.001;0
40R_40V_04F_06M;LR2_2_4;0;0
40R_40V_04F_06M;LR2_2_5;0;0
60R_60V_02F_06M;LR1_2_1;0.0694;0.0083
60R_60V_02F_06M;LR1_2_2;0.1351;0.0075
60R_60V_02F_06M;LR1_2_3;0.1701;0.008
60R_60V_02F_06M;LR1_2_4;0.0081;0
60R_60V_02F_06M;LR1_2_5;0.0317;0.004
60R_60V_02F_06M;LR2_2_1;0.0065;0.004
60R_60V_02F_06M;LR2_2_2;0;0
60R_60V_02F_06M;LR2_2_3;0;0
60R_60V_02F_06M;LR2_2_4;0;0
60R_60V_02F_06M;LR2_2_5;0;0
60R_60V_04F_06M;LR1_2_1;0.3419;0.0075
60R_60V_04F_06M;LR1_2_2;0.2012;0.0067
60R_60V_04F_06M;LR1_2_3;0.2173;0.0153
60R_60V_04F_06M;LR1_2_4;0.0516;0.004
60R_60V_04F_06M;LR1_2_5;0.185;0.0113
60R_60V_04F_06M;LR2_2_1;0.5043;0.0072
60R_60V_04F_06M;LR2_2_2;2e-4;0
60R_60V_04F_06M;LR2_2_3;1e-4;0
60R_60V_04F_06M;LR2_2_4;0;0
60R_60V_04F_06M;LR2_2_5;0;0
