group;instname;tw_shift;cap_incr
40R_40V_02F_06M;LR2_2_1;0.0027;0
40R_40V_02F_06M;LR2_2_2;4e-4;0
40R_40V_02F_06M;LR2_2_3;0;0
40R_40V_02F_06M;LR2_2_4;0;0
40R_40V_02F_06M;LR2_2_5;0;0
40R_40V_04F_06M;LR2_2_1;0.0065;0
40R_40V_04F_06M;LR2_2_2;4e-4;0
40R_40V_04F_06M;LR2_2_3;0.001;0
40R_40V_04F_06M;LR2_2_4;0;0
40R_40V_04F_06M;LR2_2_5;0;0
60R_60V_02F_06M;LR2_2_1;0.0065;0.004
60R_60V_02F_06M;LR2_2_2;0;0
60R_60V_02F_06M;LR2_2_3;0;0
60R_60V_02F_06M;LR2_2_4;0;0
60R_60V_02F_06M;LR2_2_5;0;0
60R_60V_04F_06M;LR2_2_1;0.5043;0.0072
60R_60V_04F_06M;LR2_2_2;2e-4;0
60R_60V_04F_06M;LR2_2_3;1e-4;0
60R_60V_04F_06M;LR2_2_4;0;0
60R_60V_04F_06M;LR2_2_5;0;0
