group;instname;tw_shift;cap_incr
06R_06V_02F_04M;lr101;0.0481;0
06R_06V_02F_04M;lr102;0.0143;0
06R_06V_02F_04M;lr103;0;0
06R_06V_02F_04M;lr104;0;0
06R_06V_02F_04M;lr105;0.0317;0
06R_06V_04F_04M;lr101;0.1089;0
06R_06V_04F_04M;lr102;0.0273;0
06R_06V_04F_04M;lr103;0.0033;0
06R_06V_04F_04M;lr104;0.0871;0
06R_06V_04F_04M;lr105;0.0515;0
08R_08V_02F_04M;lr101;0.0147;0
08R_08V_02F_04M;lr102;0.0472;0
08R_08V_02F_04M;lr103;0;0
08R_08V_02F_04M;lr104;0.0248;0
08R_08V_02F_04M;lr105;0.0312;0
08R_08V_04F_04M;lr101;0.0359;0
08R_08V_04F_04M;lr102;0.1136;0
08R_08V_04F_04M;lr103;0.0341;0
08R_08V_04F_04M;lr104;0.0793;0
08R_08V_04F_04M;lr105;0.0523;0
10R_10V_02F_04M;lr101;0.0123;0
10R_10V_02F_04M;lr102;0.0291;0
10R_10V_02F_04M;lr103;0.0244;0.0231
10R_10V_02F_04M;lr104;0.0271;0
10R_10V_02F_04M;lr105;0.0364;0
10R_10V_04F_04M;lr101;0.0214;0
10R_10V_04F_04M;lr102;0.0613;0
10R_10V_04F_04M;lr103;0.0349;0
10R_10V_04F_04M;lr104;0.0428;0
10R_10V_04F_04M;lr105;0.1045;0
12R_12V_02F_04M;lr101;0.0309;0
12R_12V_02F_04M;lr102;0.0303;0
12R_12V_02F_04M;lr103;0.0156;0
12R_12V_02F_04M;lr104;0.0327;0
12R_12V_02F_04M;lr105;0.0446;0
12R_12V_04F_04M;lr101;0.0826;0
12R_12V_04F_04M;lr102;0.1239;0
12R_12V_04F_04M;lr103;0.0208;0
12R_12V_04F_04M;lr104;0.0384;0
12R_12V_04F_04M;lr105;0.0616;0
