group;instname;tw_shift;cap_incr
06R_06V_02F_04M;lr101;1;0
06R_06V_02F_04M;lr102;1;0
06R_06V_02F_04M;lr103;0;0
06R_06V_02F_04M;lr104;0;0
06R_06V_02F_04M;lr105;1;0
06R_06V_02F_04M;lr201;1;0
06R_06V_02F_04M;lr202;0;0
06R_06V_02F_04M;lr203;0;0
06R_06V_02F_04M;lr204;0;0
06R_06V_02F_04M;lr205;0;0
06R_06V_04F_04M;lr101;1;0
06R_06V_04F_04M;lr102;1;0
06R_06V_04F_04M;lr103;1;0
06R_06V_04F_04M;lr104;1;0
06R_06V_04F_04M;lr105;1;0
06R_06V_04F_04M;lr201;1;0
06R_06V_04F_04M;lr202;0;0
06R_06V_04F_04M;lr203;0;0
06R_06V_04F_04M;lr204;0;0
06R_06V_04F_04M;lr205;0;0
08R_08V_02F_04M;lr101;1;0
08R_08V_02F_04M;lr102;1;0
08R_08V_02F_04M;lr103;0;0
08R_08V_02F_04M;lr104;1;0
08R_08V_02F_04M;lr105;1;0
08R_08V_02F_04M;lr201;0;0
08R_08V_02F_04M;lr202;0;0
08R_08V_02F_04M;lr203;0;0
08R_08V_02F_04M;lr204;0;0
08R_08V_02F_04M;lr205;0;0
08R_08V_04F_04M;lr101;1;0
08R_08V_04F_04M;lr102;1;0
08R_08V_04F_04M;lr103;1;0
08R_08V_04F_04M;lr104;1;0
08R_08V_04F_04M;lr105;1;0
08R_08V_04F_04M;lr201;1;0
08R_08V_04F_04M;lr202;0;0
08R_08V_04F_04M;lr203;0;0
08R_08V_04F_04M;lr204;0;0
08R_08V_04F_04M;lr205;0;0
10R_10V_02F_04M;lr101;1;0
10R_10V_02F_04M;lr102;1;0
10R_10V_02F_04M;lr103;1;1
10R_10V_02F_04M;lr104;1;0
10R_10V_02F_04M;lr105;1;0
10R_10V_02F_04M;lr201;1;0
10R_10V_02F_04M;lr202;0;0
10R_10V_02F_04M;lr203;0;0
10R_10V_02F_04M;lr204;0;0
10R_10V_02F_04M;lr205;0;0
10R_10V_04F_04M;lr101;1;0
10R_10V_04F_04M;lr102;1;0
10R_10V_04F_04M;lr103;1;0
10R_10V_04F_04M;lr104;1;0
10R_10V_04F_04M;lr105;1;0
10R_10V_04F_04M;lr201;1;0
10R_10V_04F_04M;lr202;0;0
10R_10V_04F_04M;lr203;0;0
10R_10V_04F_04M;lr204;0;0
10R_10V_04F_04M;lr205;1;1
12R_12V_02F_04M;lr101;1;0
12R_12V_02F_04M;lr102;1;0
12R_12V_02F_04M;lr103;1;0
12R_12V_02F_04M;lr104;1;0
12R_12V_02F_04M;lr105;1;0
12R_12V_02F_04M;lr201;0;0
12R_12V_02F_04M;lr202;0;0
12R_12V_02F_04M;lr203;0;0
12R_12V_02F_04M;lr204;0;0
12R_12V_02F_04M;lr205;1;1
12R_12V_04F_04M;lr101;1;0
12R_12V_04F_04M;lr102;1;0
12R_12V_04F_04M;lr103;1;0
12R_12V_04F_04M;lr104;1;0
12R_12V_04F_04M;lr105;1;0
12R_12V_04F_04M;lr201;1;0
12R_12V_04F_04M;lr202;0;0
12R_12V_04F_04M;lr203;0;0
12R_12V_04F_04M;lr204;0;0
12R_12V_04F_04M;lr205;1;1
40R_40V_02F_06M;LR1_2_1;1;0
40R_40V_02F_06M;LR1_2_2;1;1
40R_40V_02F_06M;LR1_2_3;1;0
40R_40V_02F_06M;LR1_2_4;1;1
40R_40V_02F_06M;LR1_2_5;1;0
40R_40V_02F_06M;LR2_2_1;1;0
40R_40V_02F_06M;LR2_2_2;1;0
40R_40V_02F_06M;LR2_2_3;0;0
40R_40V_02F_06M;LR2_2_4;0;0
40R_40V_02F_06M;LR2_2_5;0;0
40R_40V_04F_06M;LR1_2_1;1;0
40R_40V_04F_06M;LR1_2_2;1;1
40R_40V_04F_06M;LR1_2_3;1;0
40R_40V_04F_06M;LR1_2_4;1;1
40R_40V_04F_06M;LR1_2_5;1;1
40R_40V_04F_06M;LR2_2_1;1;0
40R_40V_04F_06M;LR2_2_2;1;0
40R_40V_04F_06M;LR2_2_3;1;0
40R_40V_04F_06M;LR2_2_4;0;0
40R_40V_04F_06M;LR2_2_5;0;0
60R_60V_02F_06M;LR1_2_1;1;1
60R_60V_02F_06M;LR1_2_2;1;1
60R_60V_02F_06M;LR1_2_3;1;1
60R_60V_02F_06M;LR1_2_4;1;0
60R_60V_02F_06M;LR1_2_5;1;1
60R_60V_02F_06M;LR2_2_1;1;1
60R_60V_02F_06M;LR2_2_2;0;0
60R_60V_02F_06M;LR2_2_3;1;0
60R_60V_02F_06M;LR2_2_4;0;0
60R_60V_02F_06M;LR2_2_5;0;0
60R_60V_04F_06M;LR1_2_1;1;1
60R_60V_04F_06M;LR1_2_2;1;1
60R_60V_04F_06M;LR1_2_3;1;1
60R_60V_04F_06M;LR1_2_4;1;1
60R_60V_04F_06M;LR1_2_5;1;1
60R_60V_04F_06M;LR2_2_1;1;1
60R_60V_04F_06M;LR2_2_2;1;0
60R_60V_04F_06M;LR2_2_3;1;0
60R_60V_04F_06M;LR2_2_4;0;0
60R_60V_04F_06M;LR2_2_5;0;0
