group;instname;tw_shift;cap_incr
06R_06V_02I_04M;lr101;0.0073;0
06R_06V_02I_04M;lr102;0;0
06R_06V_02I_04M;lr103;0;0
06R_06V_02I_04M;lr104;0;0
06R_06V_02I_04M;lr105;0;0
06R_06V_02I_04M;lr201;0;0
06R_06V_02I_04M;lr202;0;0
06R_06V_02I_04M;lr203;0;0
06R_06V_02I_04M;lr204;0;0
06R_06V_02I_04M;lr205;0;0
06R_06V_04I_04M;lr101;0.0238;0
06R_06V_04I_04M;lr102;7e-4;0
06R_06V_04I_04M;lr103;0;0
06R_06V_04I_04M;lr104;0;0
06R_06V_04I_04M;lr105;0.0486;0
06R_06V_04I_04M;lr201;0;0
06R_06V_04I_04M;lr202;0;0
06R_06V_04I_04M;lr203;0;0
06R_06V_04I_04M;lr204;0;0
06R_06V_04I_04M;lr205;0;0
08R_08V_02I_04M;lr101;0;0
08R_08V_02I_04M;lr102;0.0176;0
08R_08V_02I_04M;lr103;0;0
08R_08V_02I_04M;lr104;0;0
08R_08V_02I_04M;lr105;0;0
08R_08V_02I_04M;lr201;0;0
08R_08V_02I_04M;lr202;0;0
08R_08V_02I_04M;lr203;0;0
08R_08V_02I_04M;lr204;0;0
08R_08V_02I_04M;lr205;0;0
08R_08V_04I_04M;lr101;0.1403;0
08R_08V_04I_04M;lr102;0;0
08R_08V_04I_04M;lr103;0;0
08R_08V_04I_04M;lr104;0;0
08R_08V_04I_04M;lr105;0.0643;0
08R_08V_04I_04M;lr201;0;0
08R_08V_04I_04M;lr202;0;0
08R_08V_04I_04M;lr203;0;0
08R_08V_04I_04M;lr204;0;0
08R_08V_04I_04M;lr205;0;0
10R_10V_02I_04M;lr101;0.0567;0
10R_10V_02I_04M;lr102;0.0085;0
10R_10V_02I_04M;lr103;0;0
10R_10V_02I_04M;lr104;0;0
10R_10V_02I_04M;lr105;0;0
10R_10V_02I_04M;lr201;0;0
10R_10V_02I_04M;lr202;0;0
10R_10V_02I_04M;lr203;0;0
10R_10V_02I_04M;lr204;0;0
10R_10V_02I_04M;lr205;0;0
10R_10V_04I_04M;lr101;0.0468;0
10R_10V_04I_04M;lr102;0.0183;0
10R_10V_04I_04M;lr103;0;0
10R_10V_04I_04M;lr104;0;0
10R_10V_04I_04M;lr105;0;0
10R_10V_04I_04M;lr201;0;0
10R_10V_04I_04M;lr202;0;0
10R_10V_04I_04M;lr203;0;0
10R_10V_04I_04M;lr204;0;0
10R_10V_04I_04M;lr205;0;0
12R_12V_02I_04M;lr101;0.0476;0
12R_12V_02I_04M;lr102;0.0068;0
12R_12V_02I_04M;lr103;0;0
12R_12V_02I_04M;lr104;0;0
12R_12V_02I_04M;lr105;0.0726;0
12R_12V_02I_04M;lr201;0;0
12R_12V_02I_04M;lr202;0;0
12R_12V_02I_04M;lr203;0;0
12R_12V_02I_04M;lr204;0;0
12R_12V_02I_04M;lr205;0;0
12R_12V_04I_04M;lr101;0.0939;0.0174
12R_12V_04I_04M;lr102;0.0108;0
12R_12V_04I_04M;lr103;0;0
12R_12V_04I_04M;lr104;0;0
12R_12V_04I_04M;lr105;0;0
12R_12V_04I_04M;lr201;0;0
12R_12V_04I_04M;lr202;0;0
12R_12V_04I_04M;lr203;0;0
12R_12V_04I_04M;lr204;0;0
12R_12V_04I_04M;lr205;0;0
