group;instname;tw_shift;cap_incr
40R_40V_02I_06M;LR2_2_1;0;0
40R_40V_02I_06M;LR2_2_2;0;0
40R_40V_02I_06M;LR2_2_3;0;0
40R_40V_02I_06M;LR2_2_4;0;0
40R_40V_02I_06M;LR2_2_5;0;0
40R_40V_04I_06M;LR2_2_1;0;0
40R_40V_04I_06M;LR2_2_2;3e-4;0
40R_40V_04I_06M;LR2_2_3;0;0
40R_40V_04I_06M;LR2_2_4;0;0
40R_40V_04I_06M;LR2_2_5;0;0
60R_60V_02I_06M;LR2_2_1;0;0
60R_60V_02I_06M;LR2_2_2;0;0
60R_60V_02I_06M;LR2_2_3;0;0
60R_60V_02I_06M;LR2_2_4;0;0
60R_60V_02I_06M;LR2_2_5;0;0
60R_60V_04I_06M;LR2_2_1;0.0016;0
60R_60V_04I_06M;LR2_2_2;2e-4;0
60R_60V_04I_06M;LR2_2_3;0;0
60R_60V_04I_06M;LR2_2_4;0;0
60R_60V_04I_06M;LR2_2_5;0;0
