group;instname;tw_shift;cap_incr
06R_06V_02I_04M;lr201;0;0
06R_06V_02I_04M;lr202;0;0
06R_06V_02I_04M;lr203;0;0
06R_06V_02I_04M;lr204;0;0
06R_06V_02I_04M;lr205;0;0
06R_06V_04I_04M;lr201;0;0
06R_06V_04I_04M;lr202;0;0
06R_06V_04I_04M;lr203;0;0
06R_06V_04I_04M;lr204;0;0
06R_06V_04I_04M;lr205;0;0
08R_08V_02I_04M;lr201;0;0
08R_08V_02I_04M;lr202;0;0
08R_08V_02I_04M;lr203;0;0
08R_08V_02I_04M;lr204;0;0
08R_08V_02I_04M;lr205;0;0
08R_08V_04I_04M;lr201;0;0
08R_08V_04I_04M;lr202;0;0
08R_08V_04I_04M;lr203;0;0
08R_08V_04I_04M;lr204;0;0
08R_08V_04I_04M;lr205;0;0
10R_10V_02I_04M;lr201;0;0
10R_10V_02I_04M;lr202;0;0
10R_10V_02I_04M;lr203;0;0
10R_10V_02I_04M;lr204;0;0
10R_10V_02I_04M;lr205;0;0
10R_10V_04I_04M;lr201;0;0
10R_10V_04I_04M;lr202;0;0
10R_10V_04I_04M;lr203;0;0
10R_10V_04I_04M;lr204;0;0
10R_10V_04I_04M;lr205;0;0
12R_12V_02I_04M;lr201;0;0
12R_12V_02I_04M;lr202;0;0
12R_12V_02I_04M;lr203;0;0
12R_12V_02I_04M;lr204;0;0
12R_12V_02I_04M;lr205;0;0
12R_12V_04I_04M;lr201;0;0
12R_12V_04I_04M;lr202;0;0
12R_12V_04I_04M;lr203;0;0
12R_12V_04I_04M;lr204;0;0
12R_12V_04I_04M;lr205;0;0
