name;group;type;full_name;obj_value_grb;gap_grb;n_vehicles_used_grb;time_grb;status;optimal;tle_feas;tle_not_feas;constraints_used_mip_str
lr101;06R_06V_02F_03M;t1;lr101_t1_06R_06V_02F_03M;779.06;0;1;0.08;2;1;0;0;1-29
lr101;06R_06V_02F_04M;t1;lr101_t1_06R_06V_02F_04M;766.07;0;1;0.11;2;1;0;0;1-29
lr102;06R_06V_02F_03M;t1;lr102_t1_06R_06V_02F_03M;580.21;0;0.67;0.54;2;1;0;0;1-29
lr102;06R_06V_02F_04M;t1;lr102_t1_06R_06V_02F_04M;579.78;0;0.67;0.97;2;1;0;0;1-29
lr103;06R_06V_02F_03M;t1;lr103_t1_06R_06V_02F_03M;606.25;0;0.67;1.65;2;1;0;0;1-29
lr103;06R_06V_02F_04M;t1;lr103_t1_06R_06V_02F_04M;598.51;0;0.67;2.01;2;1;0;0;1-29
lr104;06R_06V_02F_03M;t1;lr104_t1_06R_06V_02F_03M;431.33;0;0.5;5.12;2;1;0;0;1-29
lr104;06R_06V_02F_04M;t1;lr104_t1_06R_06V_02F_04M;431.33;0;0.5;6.43;2;1;0;0;1-29
lr105;06R_06V_02F_03M;t1;lr105_t1_06R_06V_02F_03M;659.67;0;1;0.02;2;1;0;0;1-29
lr105;06R_06V_02F_04M;t1;lr105_t1_06R_06V_02F_04M;654.46;0;1;0.03;2;1;0;0;1-29
lr101;06R_06V_04F_03M;t1;lr101_t1_06R_06V_04F_03M;748.24;0;0.83;0.3;2;1;0;0;1-29
lr101;06R_06V_04F_04M;t1;lr101_t1_06R_06V_04F_04M;735.27;0;0.83;0.31;2;1;0;0;1-29
lr102;06R_06V_04F_03M;t1;lr102_t1_06R_06V_04F_03M;687.85;0;0.67;0.85;2;1;0;0;1-29
lr102;06R_06V_04F_04M;t1;lr102_t1_06R_06V_04F_04M;684.42;0;0.67;1.49;2;1;0;0;1-29
lr103;06R_06V_04F_03M;t1;lr103_t1_06R_06V_04F_03M;932.18;0;1;0.11;2;1;0;0;1-29
lr103;06R_06V_04F_04M;t1;lr103_t1_06R_06V_04F_04M;919.13;0;1;0.27;2;1;0;0;1-29
lr104;06R_06V_04F_03M;t1;lr104_t1_06R_06V_04F_03M;659.55;0;0.67;1.19;2;1;0;0;1-29
lr104;06R_06V_04F_04M;t1;lr104_t1_06R_06V_04F_04M;656.61;0;0.67;2.24;2;1;0;0;1-29
lr105;06R_06V_04F_03M;t1;lr105_t1_06R_06V_04F_03M;864.42;0;1;0.05;2;1;0;0;1-29
lr105;06R_06V_04F_04M;t1;lr105_t1_06R_06V_04F_04M;856.89;0;1;0.09;2;1;0;0;1-29
lr101;08R_08V_02F_03M;t1;lr101_t1_08R_08V_02F_03M;1016.87;0;1;0.09;2;1;0;0;1-29
lr101;08R_08V_02F_04M;t1;lr101_t1_08R_08V_02F_04M;1004.95;0;1;0.09;2;1;0;0;1-29
