name;group;type;full_name;obj_value_grb;gap_grb;n_vehicles_used_grb;time_grb;status;optimal;tle_feas;tle_not_feas;constraints_used_mip_str
lr101;06R_06V_02I_03M;t1;lr101_t1_06R_06V_02I_03M;779.08;0;1;0.08;2;1;0;0;1-29
lr101;06R_06V_02I_04M;t1;lr101_t1_06R_06V_02I_04M;758.09;0;1;0.09;2;1;0;0;1-29
lr102;06R_06V_02I_03M;t1;lr102_t1_06R_06V_02I_03M;536.97;0;0.67;1.09;2;1;0;0;1-29
lr102;06R_06V_02I_04M;t1;lr102_t1_06R_06V_02I_04M;536.97;0;0.67;1.65;2;1;0;0;1-29
lr103;06R_06V_02I_03M;t1;lr103_t1_06R_06V_02I_03M;454.4;0;0.5;22.47;2;1;0;0;1-29
lr103;06R_06V_02I_04M;t1;lr103_t1_06R_06V_02I_04M;451.61;0;0.5;24.22;2;1;0;0;1-29
lr104;06R_06V_02I_03M;t1;lr104_t1_06R_06V_02I_03M;431.14;0;0.5;11.69;2;1;0;0;1-29
lr104;06R_06V_02I_04M;t1;lr104_t1_06R_06V_02I_04M;426.97;0;0.5;14.63;2;1;0;0;1-29
lr105;06R_06V_02I_03M;t1;lr105_t1_06R_06V_02I_03M;468.59;0;0.67;0.33;2;1;0;0;1-29
lr105;06R_06V_02I_04M;t1;lr105_t1_06R_06V_02I_04M;468.59;0;0.67;0.39;2;1;0;0;1-29
lr101;06R_06V_04I_03M;t1;lr101_t1_06R_06V_04I_03M;780.14;0;1;0.28;2;1;0;0;1-29
lr101;06R_06V_04I_04M;t1;lr101_t1_06R_06V_04I_04M;757.4;0;1;0.13;2;1;0;0;1-29
lr102;06R_06V_04I_03M;t1;lr102_t1_06R_06V_04I_03M;614.27;0;0.67;1.79;2;1;0;0;1-29
lr102;06R_06V_04I_04M;t1;lr102_t1_06R_06V_04I_04M;606.4;0;0.67;2.93;2;1;0;0;1-29
lr103;06R_06V_04I_03M;t1;lr103_t1_06R_06V_04I_03M;448.87;0;0.5;83.59;2;1;0;0;1-29
lr103;06R_06V_04I_04M;t1;lr103_t1_06R_06V_04I_04M;446.87;0;0.5;61.46;2;1;0;0;1-29
lr104;06R_06V_04I_03M;t1;lr104_t1_06R_06V_04I_03M;469.54;0;0.5;25.63;2;1;0;0;1-29
lr104;06R_06V_04I_04M;t1;lr104_t1_06R_06V_04I_04M;465.1;0;0.5;35.79;2;1;0;0;1-29
lr105;06R_06V_04I_03M;t1;lr105_t1_06R_06V_04I_03M;521.52;0;0.67;0.35;2;1;0;0;1-29
lr105;06R_06V_04I_04M;t1;lr105_t1_06R_06V_04I_04M;513.04;0;0.67;0.47;2;1;0;0;1-29
lr101;08R_08V_02I_03M;t1;lr101_t1_08R_08V_02I_03M;946.87;0;0.88;0.14;2;1;0;0;1-29
lr101;08R_08V_02I_04M;t1;lr101_t1_08R_08V_02I_04M;946.51;0;0.88;0.14;2;1;0;0;1-29
lr102;08R_08V_02I_03M;t1;lr102_t1_08R_08V_02I_03M;765.67;0;0.75;170.76;2;1;0;0;1-29
lr102;08R_08V_02I_04M;t1;lr102_t1_08R_08V_02I_04M;765.67;0;0.75;158.87;2;1;0;0;1-29
lr103;08R_08V_02I_03M;t1;lr103_t1_08R_08V_02I_03M;546.38;43.3;0.38;3600.01;9;0;1;0;1-29
lr103;08R_08V_02I_04M;t1;lr103_t1_08R_08V_02I_04M;546.38;44.8;0.38;3600.02;9;0;1;0;1-29
lr104;08R_08V_02I_03M;t1;lr104_t1_08R_08V_02I_03M;558.37;49.18;0.38;3600.01;9;0;1;0;1-29
lr104;08R_08V_02I_04M;t1;lr104_t1_08R_08V_02I_04M;558.37;41.54;0.38;3600.01;9;0;1;0;1-29
lr105;08R_08V_02I_03M;t1;lr105_t1_08R_08V_02I_03M;553.09;0;0.5;2.35;2;1;0;0;1-29
lr105;08R_08V_02I_04M;t1;lr105_t1_08R_08V_02I_04M;553.09;0;0.5;3.6;2;1;0;0;1-29
lr101;08R_08V_04I_03M;t1;lr101_t1_08R_08V_04I_03M;1155.57;0;0.88;0.37;2;1;0;0;1-29
lr101;08R_08V_04I_04M;t1;lr101_t1_08R_08V_04I_04M;1067.37;0;0.88;1.82;2;1;0;0;1-29
lr102;08R_08V_04I_03M;t1;lr102_t1_08R_08V_04I_03M;772.63;0;0.62;20.54;2;1;0;0;1-29
lr102;08R_08V_04I_04M;t1;lr102_t1_08R_08V_04I_04M;771.68;0;0.62;43.71;2;1;0;0;1-29
lr103;08R_08V_04I_03M;t1;lr103_t1_08R_08V_04I_03M;563.83;48.07;0.38;3600.04;9;0;1;0;1-29
lr103;08R_08V_04I_04M;t1;lr103_t1_08R_08V_04I_04M;562.45;31.77;0.38;3600.05;9;0;1;0;1-29
lr104;08R_08V_04I_03M;t1;lr104_t1_08R_08V_04I_03M;649.35;9.63;0.62;3600.02;9;0;1;0;1-29
lr104;08R_08V_04I_04M;t1;lr104_t1_08R_08V_04I_04M;647.39;0.48;0.62;3600.04;9;0;1;0;1-29
lr105;08R_08V_04I_03M;t1;lr105_t1_08R_08V_04I_03M;754.77;0;0.62;70.71;2;1;0;0;1-29
lr105;08R_08V_04I_04M;t1;lr105_t1_08R_08V_04I_04M;743.51;0.01;0.62;280.99;2;1;0;0;1-29
lr101;10R_10V_02I_03M;t1;lr101_t1_10R_10V_02I_03M;1295.64;0;0.8;4.59;2;1;0;0;1-29
lr101;10R_10V_02I_04M;t1;lr101_t1_10R_10V_02I_04M;1245.7;0.01;0.8;50.14;2;1;0;0;1-29
lr102;10R_10V_02I_03M;t1;lr102_t1_10R_10V_02I_03M;1018.62;0;0.6;123.22;2;1;0;0;1-29
lr102;10R_10V_02I_04M;t1;lr102_t1_10R_10V_02I_04M;1018.62;0.01;0.6;140.39;2;1;0;0;1-29
lr103;10R_10V_02I_03M;t1;lr103_t1_10R_10V_02I_03M;607.23;67.57;0.3;3600.02;9;0;1;0;1-29
lr103;10R_10V_02I_04M;t1;lr103_t1_10R_10V_02I_04M;607.23;76.45;0.3;3600.02;9;0;1;0;1-29
lr104;10R_10V_02I_03M;t1;lr104_t1_10R_10V_02I_03M;679.21;76.34;0.4;3600.01;9;0;1;0;1-29
lr104;10R_10V_02I_04M;t1;lr104_t1_10R_10V_02I_04M;663.54;85.89;0.4;3600.01;9;0;1;0;1-29
lr105;10R_10V_02I_03M;t1;lr105_t1_10R_10V_02I_03M;670.47;0;0.5;33.72;2;1;0;0;1-29
lr105;10R_10V_02I_04M;t1;lr105_t1_10R_10V_02I_04M;670.47;0;0.5;35.12;2;1;0;0;1-29
lr101;10R_10V_04I_03M;t1;lr101_t1_10R_10V_04I_03M;1260.37;0;0.9;8.68;2;1;0;0;1-29
lr101;10R_10V_04I_04M;t1;lr101_t1_10R_10V_04I_04M;1197.46;0;0.9;2.64;2;1;0;0;1-29
lr102;10R_10V_04I_03M;t1;lr102_t1_10R_10V_04I_03M;939.28;0.57;0.6;3600.01;9;0;1;0;1-29
lr102;10R_10V_04I_04M;t1;lr102_t1_10R_10V_04I_04M;937.46;0.01;0.6;1933.61;2;1;0;0;1-29
lr103;10R_10V_04I_03M;t1;lr103_t1_10R_10V_04I_03M;609.66;89.5;0.4;3600.1;9;0;1;0;1-29
lr103;10R_10V_04I_04M;t1;lr103_t1_10R_10V_04I_04M;609.25;91.33;0.4;3600.06;9;0;1;0;1-29
lr104;10R_10V_04I_03M;t1;lr104_t1_10R_10V_04I_03M;725.92;81.89;0.5;3600.02;9;0;1;0;1-29
lr104;10R_10V_04I_04M;t1;lr104_t1_10R_10V_04I_04M;725.92;87.93;0.5;3600.03;9;0;1;0;1-29
lr105;10R_10V_04I_03M;t1;lr105_t1_10R_10V_04I_03M;668.46;0;0.4;47.79;2;1;0;0;1-29
lr105;10R_10V_04I_04M;t1;lr105_t1_10R_10V_04I_04M;665.48;0;0.4;66.35;2;1;0;0;1-29
lr101;12R_12V_02I_03M;t1;lr101_t1_12R_12V_02I_03M;1431.73;0.01;0.83;34.72;2;1;0;0;1-29
lr101;12R_12V_02I_04M;t1;lr101_t1_12R_12V_02I_04M;1381.79;0.01;0.83;756.71;2;1;0;0;1-29
lr102;12R_12V_02I_03M;t1;lr102_t1_12R_12V_02I_03M;965.99;0;0.5;288.26;2;1;0;0;1-29
lr102;12R_12V_02I_04M;t1;lr102_t1_12R_12V_02I_04M;960.14;0;0.5;206.15;2;1;0;0;1-29
