group;space1;Sol.;Gap;Time..s.;space2;Sol._1;Gap_1;Time..s._1
06R_06V_02F_03M;\hspace{0.1cm};611.304;0;1.482;\hspace{0.2cm};601.768;0;710.682
06R_06V_02F_04M;\hspace{0.1cm};606.03;0;1.91;\hspace{0.2cm};601.52;3.712;785.846
06R_06V_04F_03M;\hspace{0.1cm};778.448;0;0.5;\hspace{0.2cm};713.272;14.464;839.392
06R_06V_04F_04M;\hspace{0.1cm};770.464;0;0.88;\hspace{0.2cm};697.106;11.28;900.188
08R_08V_02F_03M;\hspace{0.1cm};855.864;0;524.416;\hspace{0.2cm};756.582;59.752;2895.452
08R_08V_02F_04M;\hspace{0.1cm};848.184;0;824.276;\hspace{0.2cm};756;70.242;2906.596
08R_08V_04F_03M;\hspace{0.1cm};1084.826;0;224.106;\hspace{0.2cm};944.07;74.4;2985.96
08R_08V_04F_04M;\hspace{0.1cm};1068.07;0.004;852.236;\hspace{0.2cm};948.728;73.99;2946.62
10R_10V_02F_03M;\hspace{0.1cm};1064.174;18.862;2160.088;\hspace{0.2cm};893.292;86.218;3600.104
10R_10V_02F_04M;\hspace{0.1cm};1058.77;14.006;1825.188;\hspace{0.2cm};886.114;77.602;3599.722
10R_10V_04F_03M;\hspace{0.1cm};1342.228;1.084;1441.144;\hspace{0.2cm};1215.86666666667;94.94;3600.07333333333
10R_10V_04F_04M;\hspace{0.1cm};1325.67;3.732;1445.556;\hspace{0.2cm};1201.99666666667;92.1966666666667;3600.13666666667
12R_12V_02F_03M;\hspace{0.1cm};1302.226;37.084;2880.514;\hspace{0.2cm};1089.338;97.89;3600.454
12R_12V_02F_04M;\hspace{0.1cm};1291.958;39.7;2261.81;\hspace{0.2cm};1124.5825;98.485;3600.5875
12R_12V_04F_03M;\hspace{0.1cm};1584.132;22.13;2161.918;\hspace{0.2cm};1587.38;100;3600.1
12R_12V_04F_04M;\hspace{0.1cm};1558.61;24.418;2162.194;\hspace{0.2cm};1437.27;100;3600.79333333333
sum.;\hspace{0.1cm};17150.958;161.02;18768.218;\hspace{0.2cm};15454.8858333333;1055.17166666667;43772.7068333333
