group;space1;Sol.;Gap;Time..s.;space2;Sol._1;Gap_1;Time..s._1
06R_06V_02I_03M;\hspace{0.1cm};534.036;0;7.132;\hspace{0.2cm};597.864;0;589.998
06R_06V_02I_04M;\hspace{0.1cm};528.446;0;8.196;\hspace{0.2cm};594.99;0;708.978
06R_06V_04I_03M;\hspace{0.1cm};566.868;0;22.328;\hspace{0.2cm};603.796;20;838.836
06R_06V_04I_04M;\hspace{0.1cm};557.762;0;20.156;\hspace{0.2cm};598.21;20;866.792
08R_08V_02I_03M;\hspace{0.1cm};674.076;18.496;1474.654;\hspace{0.2cm};721.496;57.272;2416.648
08R_08V_02I_04M;\hspace{0.1cm};674.004;17.268;1472.528;\hspace{0.2cm};711.6;57.242;2535.138
08R_08V_04I_03M;\hspace{0.1cm};779.23;11.54;1458.336;\hspace{0.2cm};776.392;62.148;2982.128
08R_08V_04I_04M;\hspace{0.1cm};758.48;6.452;1505.322;\hspace{0.2cm};767.436;72.372;2964.84
10R_10V_02I_03M;\hspace{0.1cm};854.234;28.782;1472.312;\hspace{0.2cm};774.668;81.708;3600.194
10R_10V_02I_04M;\hspace{0.1cm};841.112;32.472;1485.136;\hspace{0.2cm};793.426;80.938;3600.34
10R_10V_04I_03M;\hspace{0.1cm};840.738;34.392;2171.32;\hspace{0.2cm};950.015;91.7925;3600.455
10R_10V_04I_04M;\hspace{0.1cm};827.114;35.854;1840.538;\hspace{0.2cm};982.633333333333;94.1433333333333;3600.18666666667
12R_12V_02I_03M;\hspace{0.1cm};1048.664;40.366;2224.616;\hspace{0.2cm};1071.65;93.575;3600.4225
12R_12V_02I_04M;\hspace{0.1cm};1024.366;41.03;2352.604;\hspace{0.2cm};1063.005;96.455;3600.5425
12R_12V_04I_03M;\hspace{0.1cm};955.108;40.58;3059.03;\hspace{0.2cm};1246.05;100;3600.755
12R_12V_04I_04M;\hspace{0.1cm};946.132;40.732;3190.666;\hspace{0.2cm};1229.9825;100;3601.4325
sum.;\hspace{0.1cm};12410.37;347.964;23764.874;\hspace{0.2cm};13483.2138333333;1027.64583333333;42707.6861666667
