group;Sol.;Gap;Time (s)
06R_06V_02F_03M;611.304;0;1.482
06R_06V_02F_04M;606.03;0;1.91
06R_06V_04F_03M;778.448;0;0.5
06R_06V_04F_04M;770.464;0;0.88
08R_08V_02F_03M;855.864;0;524.416
08R_08V_02F_04M;848.184;0;824.276
08R_08V_04F_03M;1084.826;0;224.106
08R_08V_04F_04M;1068.07;0.004;852.236
10R_10V_02F_03M;1064.174;18.862;2160.088
10R_10V_02F_04M;1058.77;14.006;1825.188
10R_10V_04F_03M;1342.228;1.084;1441.144
10R_10V_04F_04M;1325.67;3.732;1445.556
12R_12V_02F_03M;1302.226;37.084;2880.514
12R_12V_02F_04M;1291.958;39.7;2261.81
12R_12V_04F_03M;1584.132;22.13;2161.918
12R_12V_04F_04M;1558.61;24.418;2162.194
