group;Sol.;Gap;Time (s)
06R_06V_02I_03M;534.036;0;7.132
06R_06V_02I_04M;528.446;0;8.196
06R_06V_04I_03M;566.868;0;22.328
06R_06V_04I_04M;557.762;0;20.156
08R_08V_02I_03M;674.076;18.496;1474.654
08R_08V_02I_04M;674.004;17.268;1472.528
08R_08V_04I_03M;779.23;11.54;1458.336
08R_08V_04I_04M;758.48;6.452;1505.322
10R_10V_02I_03M;854.234;28.782;1472.312
10R_10V_02I_04M;841.112;32.472;1485.136
10R_10V_04I_03M;840.738;34.392;2171.32
10R_10V_04I_04M;827.114;35.854;1840.538
12R_12V_02I_03M;1048.664;40.366;2224.616
12R_12V_02I_04M;1024.366;41.03;2352.604
12R_12V_04I_03M;955.108;40.58;3059.03
12R_12V_04I_04M;946.132;40.732;3190.666
