name;group;type;full_name;obj_value_hx;gap_hx;n_vehicles_used_hx;time_hx;status;optimal;tle_feas;tle_not_feas
lr101;06R_06V_02F_03M;t1;lr101_t1_06R_06V_02F_03M;779.06;0;1;4;HxSolutionStatus.OPTIMAL;1;0;0
lr101;06R_06V_02F_04M;t1;lr101_t1_06R_06V_02F_04M;766.07;0;1;9;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_02F_03M;t1;lr102_t1_06R_06V_02F_03M;580.21;0;0.67;10;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_02F_04M;t1;lr102_t1_06R_06V_02F_04M;579.78;0;0.67;10;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_02F_03M;t1;lr103_t1_06R_06V_02F_03M;606.25;0;0.67;59;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_02F_04M;t1;lr103_t1_06R_06V_02F_04M;598.51;0;0.67;89;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_02F_03M;t1;lr104_t1_06R_06V_02F_03M;431.33;0;0.5;249;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_02F_04M;t1;lr104_t1_06R_06V_02F_04M;431.33;0;0.5;131;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_02F_03M;t1;lr105_t1_06R_06V_02F_03M;659.67;0;1;1;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_02F_04M;t1;lr105_t1_06R_06V_02F_04M;654.46;0;1;1;HxSolutionStatus.OPTIMAL;1;0;0
lr101;06R_06V_04F_03M;t1;lr101_t1_06R_06V_04F_03M;748.24;0;0.83;6;HxSolutionStatus.OPTIMAL;1;0;0
lr101;06R_06V_04F_04M;t1;lr101_t1_06R_06V_04F_04M;735.27;0;0.83;12;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_04F_03M;t1;lr102_t1_06R_06V_04F_03M;687.85;0;0.67;22;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_04F_04M;t1;lr102_t1_06R_06V_04F_04M;684.42;0;0.67;37;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_04F_03M;t1;lr103_t1_06R_06V_04F_03M;932.24;0;1;10;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_04F_04M;t1;lr103_t1_06R_06V_04F_04M;919.17;0;1;7;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_04F_03M;t1;lr104_t1_06R_06V_04F_03M;659.55;0;0.67;29;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_04F_04M;t1;lr104_t1_06R_06V_04F_04M;656.61;0;0.67;87;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_04F_03M;t1;lr105_t1_06R_06V_04F_03M;864.42;0;1;1;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_04F_04M;t1;lr105_t1_06R_06V_04F_04M;856.89;0;1;2;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_02F_03M;t1;lr101_t1_08R_08V_02F_03M;1016.87;0;1;4;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_02F_04M;t1;lr101_t1_08R_08V_02F_04M;1004.95;0;1;21;HxSolutionStatus.OPTIMAL;1;0;0
lr102;08R_08V_02F_03M;t1;lr102_t1_08R_08V_02F_03M;858.55;0;0.75;138;HxSolutionStatus.OPTIMAL;1;0;0
lr102;08R_08V_02F_04M;t1;lr102_t1_08R_08V_02F_04M;853.49;0;0.75;166;HxSolutionStatus.OPTIMAL;1;0;0
lr103;08R_08V_02F_03M;t1;lr103_t1_08R_08V_02F_03M;769.27;84.98;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;08R_08V_02F_04M;t1;lr103_t1_08R_08V_02F_04M;763.46;93.22;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_02F_03M;t1;lr104_t1_08R_08V_02F_03M;765.44;72.18;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_02F_04M;t1;lr104_t1_08R_08V_02F_04M;762.11;80.26;0.5;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;08R_08V_02F_03M;t1;lr105_t1_08R_08V_02F_03M;869.19;0;0.75;70;HxSolutionStatus.OPTIMAL;1;0;0
lr105;08R_08V_02F_04M;t1;lr105_t1_08R_08V_02F_04M;858.77;0;0.75;76;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_04F_03M;t1;lr101_t1_08R_08V_04F_03M;1152.25;0;1;248;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_04F_04M;t1;lr101_t1_08R_08V_04F_04M;1132.73;0;1;160;HxSolutionStatus.OPTIMAL;1;0;0
lr102;08R_08V_04F_03M;t1;lr102_t1_08R_08V_04F_03M;1030.42;0;0.62;209;HxSolutionStatus.OPTIMAL;1;0;0
lr102;08R_08V_04F_04M;t1;lr102_t1_08R_08V_04F_04M;1003.13;0;0.62;331;HxSolutionStatus.OPTIMAL;1;0;0
lr103;08R_08V_04F_03M;t1;lr103_t1_08R_08V_04F_03M;1079.92;34.64;0.88;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;08R_08V_04F_04M;t1;lr103_t1_08R_08V_04F_04M;1065.5;39.7;0.88;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_04F_03M;t1;lr104_t1_08R_08V_04F_03M;1093.42;47.27;0.88;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_04F_04M;t1;lr104_t1_08R_08V_04F_04M;1086;46.23;0.88;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;08R_08V_04F_03M;t1;lr105_t1_08R_08V_04F_03M;1068.12;0;0.75;483;HxSolutionStatus.OPTIMAL;1;0;0
lr105;08R_08V_04F_04M;t1;lr105_t1_08R_08V_04F_04M;1052.99;0;0.75;496;HxSolutionStatus.OPTIMAL;1;0;0
lr101;10R_10V_02F_03M;t1;lr101_t1_10R_10V_02F_03M;1189.92;0;0.9;172;HxSolutionStatus.OPTIMAL;1;0;0
lr101;10R_10V_02F_04M;t1;lr101_t1_10R_10V_02F_04M;1186.08;0;0.9;239;HxSolutionStatus.OPTIMAL;1;0;0
lr102;10R_10V_02F_03M;t1;lr102_t1_10R_10V_02F_03M;1023.7;31.84;0.7;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;10R_10V_02F_04M;t1;lr102_t1_10R_10V_02F_04M;1019.87;40.13;0.7;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;10R_10V_02F_03M;t1;lr103_t1_10R_10V_02F_03M;1034.38;83.14;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;10R_10V_02F_04M;t1;lr103_t1_10R_10V_02F_04M;1022.42;83.68;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;10R_10V_02F_03M;t1;lr104_t1_10R_10V_02F_03M;884.26;81.38;0.6;3600;HxSolutionStatus.FEASIBLE;0;1;0
