name;group;type;full_name;obj_value_hx;gap_hx;n_vehicles_used_hx;time_hx;status;optimal;tle_feas;tle_not_feas
lr101;06R_06V_02I_03M;t1;lr101_t1_06R_06V_02I_03M;779.08;0;1;2;HxSolutionStatus.OPTIMAL;1;0;0
lr101;06R_06V_02I_04M;t1;lr101_t1_06R_06V_02I_04M;758.09;0;1;2;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_02I_03M;t1;lr102_t1_06R_06V_02I_03M;536.97;0;0.67;90;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_02I_04M;t1;lr102_t1_06R_06V_02I_04M;536.97;0;0.67;100;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_02I_03M;t1;lr103_t1_06R_06V_02I_03M;454.4;0;0.5;844;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_02I_04M;t1;lr103_t1_06R_06V_02I_04M;451.61;0;0.5;890;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_02I_03M;t1;lr104_t1_06R_06V_02I_03M;431.14;0;0.5;489;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_02I_04M;t1;lr104_t1_06R_06V_02I_04M;426.97;0;0.5;838;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_02I_03M;t1;lr105_t1_06R_06V_02I_03M;468.59;0;0.67;2;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_02I_04M;t1;lr105_t1_06R_06V_02I_04M;468.59;0;0.67;3;HxSolutionStatus.OPTIMAL;1;0;0
lr101;06R_06V_04I_03M;t1;lr101_t1_06R_06V_04I_03M;780.14;0;1;167;HxSolutionStatus.OPTIMAL;1;0;0
lr101;06R_06V_04I_04M;t1;lr101_t1_06R_06V_04I_04M;757.4;0;1;5;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_04I_03M;t1;lr102_t1_06R_06V_04I_03M;614.27;0;0.67;138;HxSolutionStatus.OPTIMAL;1;0;0
lr102;06R_06V_04I_04M;t1;lr102_t1_06R_06V_04I_04M;606.4;0;0.67;114;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_04I_03M;t1;lr103_t1_06R_06V_04I_03M;448.87;0;0.5;1119;HxSolutionStatus.OPTIMAL;1;0;0
lr103;06R_06V_04I_04M;t1;lr103_t1_06R_06V_04I_04M;446.87;0;0.5;1181;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_04I_03M;t1;lr104_t1_06R_06V_04I_03M;469.54;0;0.5;866;HxSolutionStatus.OPTIMAL;1;0;0
lr104;06R_06V_04I_04M;t1;lr104_t1_06R_06V_04I_04M;465.1;0;0.5;790;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_04I_03M;t1;lr105_t1_06R_06V_04I_03M;521.52;0;0.67;5;HxSolutionStatus.OPTIMAL;1;0;0
lr105;06R_06V_04I_04M;t1;lr105_t1_06R_06V_04I_04M;513.04;0;0.67;13;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_02I_03M;t1;lr101_t1_08R_08V_02I_03M;946.87;0;0.88;22;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_02I_04M;t1;lr101_t1_08R_08V_02I_04M;946.51;0;0.88;12;HxSolutionStatus.OPTIMAL;1;0;0
lr102;08R_08V_02I_03M;t1;lr102_t1_08R_08V_02I_03M;765.67;6.29;0.75;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr102;08R_08V_02I_04M;t1;lr102_t1_08R_08V_02I_04M;765.67;7.46;0.75;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;08R_08V_02I_03M;t1;lr103_t1_08R_08V_02I_03M;546.38;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr103;08R_08V_02I_04M;t1;lr103_t1_08R_08V_02I_04M;549.35;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_02I_03M;t1;lr104_t1_08R_08V_02I_03M;558.37;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr104;08R_08V_02I_04M;t1;lr104_t1_08R_08V_02I_04M;558.37;100;0.38;3600;HxSolutionStatus.FEASIBLE;0;1;0
lr105;08R_08V_02I_03M;t1;lr105_t1_08R_08V_02I_03M;553.09;0;0.5;120;HxSolutionStatus.OPTIMAL;1;0;0
lr105;08R_08V_02I_04M;t1;lr105_t1_08R_08V_02I_04M;553.09;0;0.5;89;HxSolutionStatus.OPTIMAL;1;0;0
lr101;08R_08V_04I_03M;t1;lr101_t1_08R_08V_04I_03M;1155.57;0;0.88;138;HxSolutionStatus.OPTIMAL;1;0;0
