group;space1;Optimal;TLE;Killed;Feas..Sol.;space2;Optimal_1;TLE_1;Killed_1;Feas..Sol._1
06R_06V_02I_03M;\hspace{0.1cm};5;0;0;5;\hspace{0.2cm};3;2;0;5
06R_06V_02I_04M;\hspace{0.1cm};5;0;0;5;\hspace{0.2cm};3;2;0;5
06R_06V_04I_03M;\hspace{0.1cm};5;0;0;5;\hspace{0.2cm};2;3;0;5
06R_06V_04I_04M;\hspace{0.1cm};5;0;0;5;\hspace{0.2cm};1;4;0;5
08R_08V_02I_03M;\hspace{0.1cm};2;3;0;5;\hspace{0.2cm};0;5;0;5
08R_08V_02I_04M;\hspace{0.1cm};2;3;0;5;\hspace{0.2cm};0;5;0;5
08R_08V_04I_03M;\hspace{0.1cm};2;3;0;5;\hspace{0.2cm};0;5;0;4
08R_08V_04I_04M;\hspace{0.1cm};2;3;0;5;\hspace{0.2cm};0;5;0;4
10R_10V_02I_03M;\hspace{0.1cm};2;3;0;5;\hspace{0.2cm};0;5;0;5
10R_10V_02I_04M;\hspace{0.1cm};0;5;0;5;\hspace{0.2cm};0;5;0;4
10R_10V_04I_03M;\hspace{0.1cm};0;5;0;5;\hspace{0.2cm};0;5;0;4
10R_10V_04I_04M;\hspace{0.1cm};0;5;0;5;\hspace{0.2cm};0;5;0;3
12R_12V_02I_03M;\hspace{0.1cm};0;5;0;4;\hspace{0.2cm};0;5;0;4
12R_12V_02I_04M;\hspace{0.1cm};0;5;0;4;\hspace{0.2cm};0;5;0;3
12R_12V_04I_03M;\hspace{0.1cm};0;5;0;4;\hspace{0.2cm};0;5;0;2
12R_12V_04I_04M;\hspace{0.1cm};0;5;0;3;\hspace{0.2cm};0;5;0;2
sum.;\hspace{0.1cm};30;50;0;75;\hspace{0.2cm};9;71;0;65
