group;space1;Sol.;Gap;Time..s.;space2;Sol._1;Gap_1;Time..s._1
06R_06V_02F_03M;\hspace{0.1cm};611.304;0;64.6;\hspace{0.2cm};602.354;40;2017.8
06R_06V_02F_04M;\hspace{0.1cm};606.03;0;48;\hspace{0.2cm};601.518;40;2068.8
06R_06V_04F_03M;\hspace{0.1cm};778.46;0;13.6;\hspace{0.2cm};714.78;73.75;2916.2
06R_06V_04F_04M;\hspace{0.1cm};770.472;0;29;\hspace{0.2cm};699.716;68.544;2918
08R_08V_02F_03M;\hspace{0.1cm};855.864;31.432;1482.4;\hspace{0.2cm};787.782;80;3485.6
08R_08V_02F_04M;\hspace{0.1cm};848.556;34.696;1492.6;\hspace{0.2cm};807.456;90.542;3600
08R_08V_04F_03M;\hspace{0.1cm};1084.826;16.382;1628;\hspace{0.2cm};1069.596;96.396;3600
08R_08V_04F_04M;\hspace{0.1cm};1068.07;17.186;1637.4;\hspace{0.2cm};1077.78;98.102;3600.2
10R_10V_02F_03M;\hspace{0.1cm};1065.626;39.272;2280.8;\hspace{0.2cm};1053.674;100;3600
10R_10V_02F_04M;\hspace{0.1cm};1059.366;41.02;2356.6;\hspace{0.2cm};1056.302;100;3600
10R_10V_04F_03M;\hspace{0.1cm};1343.164;26.734;3600;\hspace{0.2cm};1251.965;100;3600
10R_10V_04F_04M;\hspace{0.1cm};1327.422;28.594;3600;\hspace{0.2cm};1398.59666666667;100;3600.66666666667
12R_12V_02F_03M;\hspace{0.1cm};1310.78;45.304;3328.6;\hspace{0.2cm};1470.57666666667;100;3600.66666666667
12R_12V_02F_04M;\hspace{0.1cm};1312.644;47.992;3388.2;\hspace{0.2cm};1820.97;100;3627.33333333333
12R_12V_04F_03M;\hspace{0.1cm};1594.004;42.9;3600;\hspace{0.2cm};1837.27;100;3600
12R_12V_04F_04M;\hspace{0.1cm};1583.464;44.654;3600;\hspace{0.2cm};1990.99;100;3601
sum.;\hspace{0.1cm};17220.052;416.166;32149.8;\hspace{0.2cm};18241.3263333333;1387.334;53036.2666666667
