group;space1;Sol.;Gap;Time..s.;space2;Sol._1;Gap_1;Time..s._1
06R_06V_02I_03M;\hspace{0.1cm};534.036;0;285.4;\hspace{0.2cm};597.86;40;1810.6
06R_06V_02I_04M;\hspace{0.1cm};528.446;0;366.6;\hspace{0.2cm};596.56;40;1910
06R_06V_04I_03M;\hspace{0.1cm};566.868;0;459;\hspace{0.2cm};603.792;56.524;2787.4
06R_06V_04I_04M;\hspace{0.1cm};557.762;0;420.6;\hspace{0.2cm};602.054;63.722;2970.6
08R_08V_02I_03M;\hspace{0.1cm};674.076;41.258;2188.4;\hspace{0.2cm};751.224;90.674;3600
08R_08V_02I_04M;\hspace{0.1cm};674.598;41.492;2180.2;\hspace{0.2cm};750.894;88.902;3600
08R_08V_04I_03M;\hspace{0.1cm};779.23;37.278;2352.4;\hspace{0.2cm};849.595;100;3600
08R_08V_04I_04M;\hspace{0.1cm};759.034;38.09;2657;\hspace{0.2cm};867.9025;100;3600
10R_10V_02I_03M;\hspace{0.1cm};857.946;42.82;3125.8;\hspace{0.2cm};954.68;100;3600.2
10R_10V_02I_04M;\hspace{0.1cm};853.418;49.492;3600;\hspace{0.2cm};965.7075;100;3600
10R_10V_04I_03M;\hspace{0.1cm};855.038;53.658;3600.2;\hspace{0.2cm};1094.9125;100;3600
10R_10V_04I_04M;\hspace{0.1cm};844.786;53.578;3600.2;\hspace{0.2cm};1221.87333333333;100;3617.33333333333
12R_12V_02I_03M;\hspace{0.1cm};1133.5225;41.605;3600;\hspace{0.2cm};1313.5675;100;3600.5
12R_12V_02I_04M;\hspace{0.1cm};1124.3125;46.4275;3600.25;\hspace{0.2cm};1237.30333333333;100;3600
12R_12V_04I_03M;\hspace{0.1cm};1025.05;54.7725;3600;\hspace{0.2cm};1408.88;100;3600
12R_12V_04I_04M;\hspace{0.1cm};1037.28333333333;42.5433333333333;3600;\hspace{0.2cm};1848.485;100;3600
sum.;\hspace{0.1cm};12805.4063333333;543.014333333333;39236.05;\hspace{0.2cm};15665.2906666667;1379.822;52696.6333333333
