group;Sol.;Gap;Time (s)
06R_06V_02F_03M;611.304;0;64.6
06R_06V_02F_04M;606.03;0;48
06R_06V_04F_03M;778.46;0;13.6
06R_06V_04F_04M;770.472;0;29
08R_08V_02F_03M;855.864;31.432;1482.4
08R_08V_02F_04M;848.556;34.696;1492.6
08R_08V_04F_03M;1084.826;16.382;1628
08R_08V_04F_04M;1068.07;17.186;1637.4
10R_10V_02F_03M;1065.626;39.272;2280.8
10R_10V_02F_04M;1059.366;41.02;2356.6
10R_10V_04F_03M;1343.164;26.734;3600
10R_10V_04F_04M;1327.422;28.594;3600
12R_12V_02F_03M;1310.78;45.304;3328.6
12R_12V_02F_04M;1312.644;47.992;3388.2
12R_12V_04F_03M;1594.004;42.9;3600
12R_12V_04F_04M;1583.464;44.654;3600
