group;Sol.;Gap;Time (s)
06R_06V_02I_03M;534.036;0;285.4
06R_06V_02I_04M;528.446;0;366.6
06R_06V_04I_03M;566.868;0;459
06R_06V_04I_04M;557.762;0;420.6
08R_08V_02I_03M;674.076;41.258;2188.4
08R_08V_02I_04M;674.598;41.492;2180.2
08R_08V_04I_03M;779.23;37.278;2352.4
08R_08V_04I_04M;759.034;38.09;2657
10R_10V_02I_03M;857.946;42.82;3125.8
10R_10V_02I_04M;853.418;49.492;3600
10R_10V_04I_03M;855.038;53.658;3600.2
10R_10V_04I_04M;844.786;53.578;3600.2
12R_12V_02I_03M;1133.5225;41.605;3600
12R_12V_02I_04M;1124.3125;46.4275;3600.25
12R_12V_04I_03M;1025.05;54.7725;3600
12R_12V_04I_04M;1037.28333333333;42.5433333333333;3600
