group;Sol.;Gap;Time (s)
06R_06V_02F_03M;602.354;40;2017.8
06R_06V_02F_04M;601.518;40;2068.8
06R_06V_04F_03M;714.78;73.75;2916.2
06R_06V_04F_04M;699.716;68.544;2918
08R_08V_02F_03M;787.782;80;3485.6
08R_08V_02F_04M;807.456;90.542;3600
08R_08V_04F_03M;1069.596;96.396;3600
08R_08V_04F_04M;1077.78;98.102;3600.2
10R_10V_02F_03M;1053.674;100;3600
10R_10V_02F_04M;1056.302;100;3600
10R_10V_04F_03M;1251.965;100;3600
10R_10V_04F_04M;1398.59666666667;100;3600.66666666667
12R_12V_02F_03M;1470.57666666667;100;3600.66666666667
12R_12V_02F_04M;1820.97;100;3627.33333333333
12R_12V_04F_03M;1837.27;100;3600
12R_12V_04F_04M;1990.99;100;3601
