name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr101;06R_06V_02F_03M;t1;0.05;24;780.51;TRUE;95.5;lr101_t1_06R_06V_02F_03M;6;89;0.44;60000;0;15.72
lr101;06R_06V_02F_04M;t1;0.05;24;768.25;TRUE;97.14;lr101_t1_06R_06V_02F_04M;6;65;0.43;60000;0;18
lr102;06R_06V_02F_03M;t1;0.05;24;606.02;TRUE;94.44;lr102_t1_06R_06V_02F_03M;6;3;0.32;60000;0;9.46
lr102;06R_06V_02F_04M;t1;0.05;24;605.59;TRUE;95.29;lr102_t1_06R_06V_02F_04M;6;3;0.29;60000;0;9.53
lr103;06R_06V_02F_03M;t1;0.05;24;607.5;TRUE;96.32;lr103_t1_06R_06V_02F_03M;6;12;0.34;60000;0;16.22
lr103;06R_06V_02F_04M;t1;0.05;24;599.29;TRUE;98.78;lr103_t1_06R_06V_02F_04M;6;12;0.33;60000;0;17.19
lr104;06R_06V_02F_03M;t1;0.05;24;431.33;TRUE;88.65;lr104_t1_06R_06V_02F_03M;6;21;0.32;60000;0;19.74
lr104;06R_06V_02F_04M;t1;0.05;24;431.33;TRUE;90.31;lr104_t1_06R_06V_02F_04M;6;21;0.32;60000;0;18.09
lr105;06R_06V_02F_03M;t1;0.05;24;660.1;TRUE;46.54;lr105_t1_06R_06V_02F_03M;6;1;0;60000;50.09;29.44
lr105;06R_06V_02F_04M;t1;0.05;24;654.89;TRUE;46.96;lr105_t1_06R_06V_02F_04M;6;1;0;60000;50.09;29.6
lr201;06R_06V_02F_03M;t2;0.05;24;793.39;TRUE;79.92;lr201_t2_06R_06V_02F_03M;6;102;0.41;60000;0;28.48
lr201;06R_06V_02F_04M;t2;0.05;24;793.39;TRUE;82.27;lr201_t2_06R_06V_02F_04M;6;102;0.46;60000;0;28.48
lr202;06R_06V_02F_03M;t2;0.05;24;545.89;TRUE;92.41;lr202_t2_06R_06V_02F_03M;6;14;0.34;60000;0;32.05
lr202;06R_06V_02F_04M;t2;0.05;24;545.89;TRUE;93.69;lr202_t2_06R_06V_02F_04M;6;14;0.34;60000;0;32.21
