name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr101;06R_06V_02I_03M;t1;0.05;24;784.11;TRUE;88.82;lr101_t1_06R_06V_02I_03M;6;1;0;60000;0;18.34
lr101;06R_06V_02I_04M;t1;0.05;24;763.79;TRUE;90.9;lr101_t1_06R_06V_02I_04M;6;7;0.3;60000;0;19.55
lr102;06R_06V_02I_03M;t1;0.05;24;542.25;TRUE;87.33;lr102_t1_06R_06V_02I_03M;6;2;0.29;60000;0;13.07
lr102;06R_06V_02I_04M;t1;0.05;24;542.25;TRUE;89.18;lr102_t1_06R_06V_02I_04M;6;2;0.32;60000;0;13.13
lr103;06R_06V_02I_03M;t1;0.05;24;455.04;TRUE;91.04;lr103_t1_06R_06V_02I_03M;6;13;0.31;60000;0;19.9
lr103;06R_06V_02I_04M;t1;0.05;24;452.25;TRUE;92.5;lr103_t1_06R_06V_02I_04M;6;13;0.31;60000;0;20.2
lr104;06R_06V_02I_03M;t1;0.05;24;431.14;TRUE;87.98;lr104_t1_06R_06V_02I_03M;6;36;0.39;60000;0;13.48
lr104;06R_06V_02I_04M;t1;0.05;24;426.97;TRUE;87.53;lr104_t1_06R_06V_02I_04M;6;36;0.34;60000;0;13.97
lr105;06R_06V_02I_03M;t1;0.05;24;472.54;TRUE;84.97;lr105_t1_06R_06V_02I_03M;6;24;0.33;60000;0;22.95
lr105;06R_06V_02I_04M;t1;0.05;24;471.8;TRUE;86.83;lr105_t1_06R_06V_02I_04M;6;24;0.36;60000;0;22.98
lr201;06R_06V_02I_03M;t2;0.05;24;841.88;TRUE;86.33;lr201_t2_06R_06V_02I_03M;6;8;0.3;60000;0;26.42
lr201;06R_06V_02I_04M;t2;0.05;24;840.13;TRUE;88.27;lr201_t2_06R_06V_02I_04M;6;8;0.3;60000;0;26.65
lr202;06R_06V_02I_03M;t2;0.05;24;606.04;TRUE;96.83;lr202_t2_06R_06V_02I_03M;6;166;0.62;60000;0;42.9
lr202;06R_06V_02I_04M;t2;0.05;24;606.04;TRUE;98.34;lr202_t2_06R_06V_02I_04M;6;166;0.61;60000;0;42.9
lr203;06R_06V_02I_03M;t2;0.05;24;676.69;TRUE;98.69;lr203_t2_06R_06V_02I_03M;6;52;0.38;60000;0;33.11
