full_name;type;alpha;seed;value;feasible
lr106_t1_08R_08V_02F_04M;t1;0.05;24;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;24;662.81;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;24;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;24;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;24;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;24;979.4;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;24;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;24;1345.58;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;24;4628.26;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;24;5804.2;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;24;6053.06;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;24;7857.74;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;24;8675.56;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;24;10434.17;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;24;12052.84;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;24;12046.07;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;31;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;31;661.91;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;31;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;31;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;31;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;31;986.81;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;31;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;31;1341.51;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;31;4434.36;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;31;5843.71;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;31;6162.55;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;31;7881.82;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;31;8540.53;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;31;10313.66;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;31;12169.19;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;31;11834.71;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;38;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;38;652.99;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;38;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;38;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;38;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;38;984.47;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;38;1393.64;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;38;1335.74;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;38;4534.92;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;38;5833.64;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;38;6197.04;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;38;7901.16;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;38;8639.74;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;38;10294.18;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;38;12082.93;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;38;11857;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;45;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;45;662.58;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;45;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;45;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;45;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;45;1000.27;TRUE
