full_name;type;alpha;seed;value;feasible
lr106_t1_08R_08V_02I_04M;t1;0.05;24;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;24;548.99;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;24;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;24;621.81;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;24;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;24;866.72;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;24;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;24;843.34;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;24;3741.15;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;24;6336.14;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;24;3211.62;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;24;6097.58;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;24;6636.07;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;24;10426.48;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;24;6996.9;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;24;7018.97;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;31;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;31;558.49;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;31;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;31;620.7;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;31;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;31;868.53;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;31;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;31;868.34;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;31;3726.96;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;31;6174.49;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;31;3364.25;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;31;6050.47;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;31;6584.97;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;31;10373.48;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;31;6932.96;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;31;6844.64;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;38;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;38;554.22;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;38;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;38;622.92;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;38;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;38;864.38;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;38;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;38;835.03;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;38;3736.02;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;38;6159.33;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;38;3265.15;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;38;6065.43;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;38;6336.88;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;38;9847.67;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;38;7033.88;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;38;7026.63;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;45;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;45;561.95;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;45;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;45;619.57;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;45;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;45;867.01;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;45;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;45;844.39;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;45;3700.1;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;45;6129.69;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;45;3255.12;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;45;6014.78;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;45;6590.29;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;45;10556.9;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;45;7061.46;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;45;6945.05;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;52;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;52;555.41;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;52;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;52;619.27;TRUE
