full_name;type;alpha;feasible;minrpd;meanrpd;maxrpd
LR1_2_10_t1_40R_40V_04I_05M;t1;0.05;0;0;2.92446689113356;5.02606310013719
LR1_2_10_t1_40R_40V_04I_05M;t1;0.1;0;0.563661304402043;4.2801720912832;6.83800972689862
LR1_2_10_t1_40R_40V_04I_05M;t1;0.15;0;2.33719915201397;5.45747599451303;7.64808579623394
LR1_2_10_t1_40R_40V_04I_05M;t1;0.2;0;2.57139294176332;6.0579872802095;8.82204763686246
LR1_2_6_t1_40R_40V_02I_05M;t1;0.05;0;0.613100723935082;3.15317753711324;3.42575811043694
LR1_2_6_t1_40R_40V_02I_05M;t1;0.1;0;0;3.11334055098553;3.42575811043694
LR1_2_6_t1_40R_40V_02I_05M;t1;0.15;0;1.16624468526126;3.25572073167808;3.42575811043694
LR1_2_6_t1_40R_40V_02I_05M;t1;0.2;0;1.15134114712704;3.25942948570803;3.42575811043694
LR1_2_6_t1_60R_60V_02I_05M;t1;0.05;0;NA;NA;NA
LR1_2_6_t1_60R_60V_02I_05M;t1;0.1;0;NA;NA;NA
LR1_2_6_t1_60R_60V_02I_05M;t1;0.15;0;NA;NA;NA
LR1_2_6_t1_60R_60V_02I_05M;t1;0.2;0;NA;NA;NA
LR1_2_6_t1_60R_60V_04I_05M;t1;0.05;0;0;0;0
LR1_2_6_t1_60R_60V_04I_05M;t1;0.1;0;0;0;0
LR1_2_6_t1_60R_60V_04I_05M;t1;0.15;0;0;0;0
LR1_2_6_t1_60R_60V_04I_05M;t1;0.2;0;0;0;0
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;0;0;3.60632434966149;6.41005372452107
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;0;1.26392691024372;4.9767850159343;8.83722607289562
LR1_2_8_t1_40R_40V_02I_06M;t1;0.15;0;4.40890545649201;8.62794451702016;10.5349431274494
LR1_2_8_t1_40R_40V_02I_06M;t1;0.2;0;5.18967224436475;9.30252424814794;12.0629162124906
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;0;0;3.45230390277926;6.9308734911369
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;0;2.05601251704442;4.59244201755653;8.44429224031217
LR1_2_8_t1_40R_40V_04I_06M;t1;0.15;0;1.43832904997391;5.68771482251811;9.79716355730381
LR1_2_8_t1_40R_40V_04I_06M;t1;0.2;0;2.08711661838723;5.78294364188183;8.09869111428087
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;0;0;3.78920699145321;5.21644721061468
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;0;2.72184418830717;4.60078934743912;6.05013823837599
LR1_2_9_t1_60R_60V_02I_06M;t1;0.15;0;1.7742169648155;4.7631326457184;7.1655136281577
LR1_2_9_t1_60R_60V_02I_06M;t1;0.2;0;1.37149512062718;5.78722494350532;8.42528184216838
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;0;4.51212308708953;9.03118946054327;12.7129936863629
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;0;5.06883282654875;9.02748014033074;11.6765659799229
LR1_2_9_t1_60R_60V_04I_06M;t1;0.15;0;0;9.85668464699895;14.0355689520547
LR1_2_9_t1_60R_60V_04I_06M;t1;0.2;0;2.46607452616551;10.1260077895724;13.1648138248546
LR2_2_10_t2_40R_40V_02I_05M;t2;0.05;0;0;4.03343105245345;6.69075687134922
LR2_2_10_t2_40R_40V_02I_05M;t2;0.1;0;3.03024690214673;6.51225249587879;9.84880758538355
LR2_2_10_t2_40R_40V_02I_05M;t2;0.15;0;5.16586712108022;7.89678537210442;10.7215442876411
LR2_2_10_t2_40R_40V_02I_05M;t2;0.2;0;5.13269538070886;8.99353235254993;13.2813249837088
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;0;0;4.05915296059558;6.72022771868659
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;0;3.05870661849541;6.54895025390971;9.87915077099282
LR2_2_10_t2_40R_40V_02I_06M;t2;0.15;0;5.19491675298755;7.91936366775305;10.7521285465249
LR2_2_10_t2_40R_40V_02I_06M;t2;0.2;0;5.16173584969219;9.00917106692606;13.079507844673
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;0;0;5.21493409100833;8.27373378677393
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;0;5.16193170567251;7.58702312323626;10.372199718309
LR2_2_10_t2_60R_60V_02I_06M;t2;0.15;0;5.10709639945287;9.8975646015758;12.4967631937301
LR2_2_10_t2_60R_60V_02I_06M;t2;0.2;0;5.95887148939799;11.3911361773902;13.5041080783576
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;0;0;2.05987460341695;3.84092049212371
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;0;0.426489315117219;2.98308471567659;5.18733148890407
LR2_2_6_t2_40R_40V_04I_06M;t2;0.15;0;0.570442042249622;3.38747779051019;6.8605722204792
LR2_2_6_t2_40R_40V_04I_06M;t2;0.2;0;0.598125259005848;4.20477862654334;7.18354308263524
LR2_2_7_t2_40R_40V_04I_05M;t2;0.05;0;0;5.67949858046588;7.87856026744451
LR2_2_7_t2_40R_40V_04I_05M;t2;0.1;0;2.61100873514547;7.52916417753614;11.2237571049677
LR2_2_7_t2_40R_40V_04I_05M;t2;0.15;0;2.710249639522;8.03105072766933;11.5440522590927
LR2_2_7_t2_40R_40V_04I_05M;t2;0.2;0;4.62949089416055;9.00503209762191;13.1112801882075
LR2_2_8_t2_60R_60V_02I_05M;t2;0.05;0;0;5.56378351548954;8.84488912254808
LR2_2_8_t2_60R_60V_02I_05M;t2;0.1;0;4.09206534765331;10.1289352433883;13.5221183454753
LR2_2_8_t2_60R_60V_02I_05M;t2;0.15;0;11.6322545462857;14.7784410215551;18.3379647922048
LR2_2_8_t2_60R_60V_02I_05M;t2;0.2;0;12.7232325079432;16.3381378596456;19.2697533625698
LR2_2_8_t2_60R_60V_04I_05M;t2;0.05;0;0;6.16145109143059;10.5160284466411
LR2_2_8_t2_60R_60V_04I_05M;t2;0.1;0;3.98016890768026;10.508593320037;15.5148863498741
LR2_2_8_t2_60R_60V_04I_05M;t2;0.15;0;13.0162239061549;15.4922896970607;17.7736318217286
LR2_2_8_t2_60R_60V_04I_05M;t2;0.2;0;9.1436727072599;16.2073112589279;17.8185491845122
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;0;0;4.73005302098968;8.42769762197467
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;0;1.81734533030644;8.81736795661782;12.3815701151679
LR2_2_8_t2_60R_60V_04I_06M;t2;0.15;0;10.5218381615368;13.2103794432419;15.9150457428595
LR2_2_8_t2_60R_60V_04I_06M;t2;0.2;0;7.2672695321633;14.296374510706;15.9150457428595
lr106_t1_08R_08V_02I_04M;t1;0.05;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.1;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.15;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.2;0;0;0;0
lr108_t1_12R_12V_04I_04M;t1;0.05;0;0;0.00245995080098379;0.0491990160196758
lr108_t1_12R_12V_04I_04M;t1;0.1;0;0;0.0187196256074872;0.0623987520249573
lr108_t1_12R_12V_04I_04M;t1;0.15;0;0;0.0250794984100308;0.140397192056154
lr108_t1_12R_12V_04I_04M;t1;0.2;0;0;0.0219595608087829;0.140397192056154
lr109_t1_08R_08V_02I_03M;t1;0.05;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.1;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.15;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.2;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.05;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.1;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.15;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.2;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.05;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.1;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.15;0;0;0;0
