full_name;type;alpha;feasible;minrpd;meanrpd;maxrpd
LR1_2_10_t1_40R_40V_04I_05M;t1;0.05;0;0;2.92446689113356;5.02606310013719
LR1_2_10_t1_40R_40V_04I_05M;t1;0.1;0;0.563661304402043;4.2801720912832;6.83800972689862
LR1_2_10_t1_40R_40V_04I_05M;t1;0.15;0;2.33719915201397;5.45747599451303;7.64808579623394
LR1_2_10_t1_40R_40V_04I_05M;t1;0.2;0;2.57139294176332;6.0579872802095;8.82204763686246
LR1_2_6_t1_40R_40V_02I_05M;t1;0.05;0;0.613100723935082;3.15317753711324;3.42575811043694
LR1_2_6_t1_40R_40V_02I_05M;t1;0.1;0;0;3.11334055098553;3.42575811043694
LR1_2_6_t1_40R_40V_02I_05M;t1;0.15;0;1.16624468526126;3.25572073167808;3.42575811043694
LR1_2_6_t1_40R_40V_02I_05M;t1;0.2;0;1.15134114712704;3.25942948570803;3.42575811043694
LR1_2_6_t1_60R_60V_02I_05M;t1;0.05;0;NA;NA;NA
LR1_2_6_t1_60R_60V_02I_05M;t1;0.1;0;NA;NA;NA
LR1_2_6_t1_60R_60V_02I_05M;t1;0.15;0;NA;NA;NA
LR1_2_6_t1_60R_60V_02I_05M;t1;0.2;0;NA;NA;NA
LR1_2_6_t1_60R_60V_04I_05M;t1;0.05;0;0;0;0
LR1_2_6_t1_60R_60V_04I_05M;t1;0.1;0;0;0;0
LR1_2_6_t1_60R_60V_04I_05M;t1;0.15;0;0;0;0
LR1_2_6_t1_60R_60V_04I_05M;t1;0.2;0;0;0;0
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;0;0;3.60632434966149;6.41005372452107
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;0;1.26392691024372;4.9767850159343;8.83722607289562
LR1_2_8_t1_40R_40V_02I_06M;t1;0.15;0;4.40890545649201;8.62794451702016;10.5349431274494
LR1_2_8_t1_40R_40V_02I_06M;t1;0.2;0;5.18967224436475;9.30252424814794;12.0629162124906
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;0;0;3.45230390277926;6.9308734911369
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;0;2.05601251704442;4.59244201755653;8.44429224031217
LR1_2_8_t1_40R_40V_04I_06M;t1;0.15;0;1.43832904997391;5.68771482251811;9.79716355730381
LR1_2_8_t1_40R_40V_04I_06M;t1;0.2;0;2.08711661838723;5.78294364188183;8.09869111428087
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;0;0;3.78920699145321;5.21644721061468
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;0;2.72184418830717;4.60078934743912;6.05013823837599
LR1_2_9_t1_60R_60V_02I_06M;t1;0.15;0;1.7742169648155;4.7631326457184;7.1655136281577
LR1_2_9_t1_60R_60V_02I_06M;t1;0.2;0;1.37149512062718;5.78722494350532;8.42528184216838
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;0;4.51212308708953;9.03118946054327;12.7129936863629
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;0;5.06883282654875;9.02748014033074;11.6765659799229
LR1_2_9_t1_60R_60V_04I_06M;t1;0.15;0;0;9.85668464699895;14.0355689520547
LR1_2_9_t1_60R_60V_04I_06M;t1;0.2;0;2.46607452616551;10.1260077895724;13.1648138248546
lr106_t1_08R_08V_02I_04M;t1;0.05;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.1;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.15;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.2;0;0;0;0
lr108_t1_12R_12V_04I_04M;t1;0.05;0;0;0.00245995080098379;0.0491990160196758
lr108_t1_12R_12V_04I_04M;t1;0.1;0;0;0.0187196256074872;0.0623987520249573
lr108_t1_12R_12V_04I_04M;t1;0.15;0;0;0.0250794984100308;0.140397192056154
lr108_t1_12R_12V_04I_04M;t1;0.2;0;0;0.0219595608087829;0.140397192056154
lr109_t1_08R_08V_02I_03M;t1;0.05;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.1;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.15;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.2;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.05;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.1;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.15;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.2;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.05;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.1;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.15;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.2;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.05;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.1;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.15;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.2;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.05;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.1;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.15;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.2;0;0;0.0145128917708824;0.145128917708824
lr110_t1_12R_12V_04I_03M;t1;0.05;0;0;0;0
lr110_t1_12R_12V_04I_03M;t1;0.1;0;0;0;0
lr110_t1_12R_12V_04I_03M;t1;0.15;0;0;0;0
lr110_t1_12R_12V_04I_03M;t1;0.2;0;0;0.0167751118340788;0.335502236681576
