group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
06R_06V_02F_03M;lr101;1;1;06;02;03;100;100;60.4651;13.4615;35.519917;43.2435;73.6522;56.4536;12.3188;7.2464;5.0725;0.4106;11.0835
06R_06V_02F_03M;lr102;1;1;06;02;03;66.6667;66.6667;60.4167;3.4483;42.665825;39.6565;90.5478;63.0663;13.0435;8.6957;4.3478;0;1.3482
06R_06V_02F_03M;lr103;1;1;06;02;03;66.6667;66.6667;100;23.6842;61.690275;39.6304;89.887;65.8967;10.8696;6.5217;4.3478;0;0
06R_06V_02F_03M;lr104;1;1;06;02;03;50;33.3333;73.0769;30;57.5913;38.2739;82.6087;62.5116;6.5217;4.3478;2.1739;0;1.9417
06R_06V_02F_03M;lr105;1;1;06;02;03;100;66.6667;60.4651;13.4615;37.3952;31.387;60.6522;47.8022;10.8696;6.5217;4.3478;0;3.9122
06R_06V_02F_03M;lr201;2;1;06;02;03;50;100;88.4615;30.7692;51.923067;16.267;29.706;22.5777;1;0.6667;0.3333;0;20.9507
06R_06V_02F_03M;lr202;2;1;06;02;03;16.6667;33.3333;87.5;87.5;87.5;54.589;54.589;54.589;1.5;1;0.5;0;0.6815
06R_06V_02F_03M;lr203;2;1;06;02;03;16.6667;100;87.5;87.5;87.5;68.632;68.632;68.632;1.6667;1;0.6667;0.5362;3.6076
06R_06V_02F_03M;lr204;2;1;06;02;03;33.3333;66.6667;94.7368;28.125;61.4309;12.571;43.31;27.9405;1.5;1;0.5;0;0
06R_06V_02F_03M;lr205;2;1;06;02;03;16.6667;66.6667;88.4615;88.4615;88.4615;54.049;54.049;54.049;2.25;1.5;0.75;0;0
06R_06V_02F_04M;lr101;1;1;06;02;04;100;75;58.8235;20.5882;33.629717;40.6087;73.1826;55.5123;12.3188;7.2464;5.0725;0;11.1724
06R_06V_02F_04M;lr102;1;1;06;02;04;66.6667;75;68.4211;5.2632;44.078975;39.6565;90.5478;63.0196;8.6957;5.7971;2.8986;0;1.3514
06R_06V_02F_04M;lr103;1;1;06;02;04;66.6667;50;68.4211;34.6154;53.102875;39.6304;88.1957;65.0554;10.8696;6.5217;4.3478;0;0
06R_06V_02F_04M;lr104;1;1;06;02;04;50;25;88.4615;30;55.3205;38.2738;82.6087;62.5116;6.5217;4.3478;2.1739;0;1.9417
06R_06V_02F_04M;lr105;1;1;06;02;04;100;50;50;20.5882;35.70625;31.387;60.6522;47.4246;10.8696;6.5217;4.3478;0;3.9122
06R_06V_02F_04M;lr201;2;1;06;02;04;50;50;88.4615;37.2093;60.517733;16.267;29.706;22.5777;1.5;1;0.5;0;24.436
06R_06V_02F_04M;lr202;2;1;06;02;04;16.6667;50;73.6842;73.6842;73.6842;54.589;54.589;54.589;0.75;0.5;0.25;0;0
06R_06V_02F_04M;lr203;2;1;06;02;04;16.6667;100;87.5;87.5;87.5;68.632;68.632;68.632;1.125;0.75;0.375;0;3.3017
06R_06V_02F_04M;lr204;2;1;06;02;04;33.3333;50;94.7368;34.6154;64.6761;12.571;43.19;27.8805;1.5;1;0.5;0;0
06R_06V_02F_04M;lr205;2;1;06;02;04;16.6667;100;100;100;100;54.045;54.045;54.045;1.125;0.75;0.375;0;0
06R_06V_04F_03M;lr101;1;1;06;04;03;83.3333;100;85.2941;16.2791;42.07934;46.6286;98.4653;61.0808;19.7279;10.8844;8.8435;0;12.8721
06R_06V_04F_03M;lr102;1;1;06;04;03;66.6667;100;60.4167;5.2632;33.251125;49.8333;87.594;73.4882;22.0798;15.6695;6.4103;0;0
06R_06V_04F_03M;lr103;1;1;06;04;03;100;66.6667;59.375;13.1579;39.0119;53.1042;78.2083;64.7347;50;29.1667;20.8333;0;0
06R_06V_04F_03M;lr104;1;1;06;04;03;66.6667;100;57.5758;26.9231;45.499725;34.4929;86.2321;58.8884;14.2857;9.5238;4.7619;0;0
06R_06V_04F_03M;lr105;1;1;06;04;03;100;100;50;20.5882;35.70625;37.1565;75;62.6391;28.2609;17.3913;10.8696;0;2.7186
06R_06V_04F_03M;lr201;2;1;06;04;03;66.6667;100;88.4615;13.4615;46.380075;13.514;23.293;20.4782;4;3;1;0;15.2861
06R_06V_04F_03M;lr202;2;1;06;04;03;33.3333;66.6667;92.1053;46.1538;69.12955;11.03;49.374;30.202;3.25;2;1.25;0;0
06R_06V_04F_03M;lr203;2;1;06;04;03;33.3333;100;87.5;59.0909;73.29545;20.141;59.615;39.878;4.1667;3.3333;0.8333;0;0.0126
06R_06V_04F_03M;lr204;2;1;06;04;03;33.3333;66.6667;81.5789;50;65.78945;28.982;45.174;37.078;5.75;3.5;2.25;0;0
06R_06V_04F_03M;lr205;2;1;06;04;03;16.6667;66.6667;82.6923;82.6923;82.6923;60.407;60.407;60.407;2.75;2.5;0.25;0;0
06R_06V_04F_04M;lr101;1;1;06;04;04;83.3333;100;85.2941;18.6047;41.95622;46.2082;98.4653;60.022;12.7551;8.1633;4.5918;0.0066;12.9624
06R_06V_04F_04M;lr102;1;1;06;04;04;66.6667;100;76.3158;3.4483;36.772175;49.8333;86.1282;73.1218;16.5598;11.7521;4.8077;0;0
06R_06V_04F_04M;lr103;1;1;06;04;04;100;75;61.5385;18.4211;39.4484;51.5;78.2083;63.8271;32.6389;19.4444;13.1944;0;0.1485
06R_06V_04F_04M;lr104;1;1;06;04;04;66.6667;100;73.0769;17.5;49.67075;34.4536;85.2214;58.6259;12.9464;7.1429;5.8036;0;0
06R_06V_04F_04M;lr105;1;1;06;04;04;100;100;50;20.5882;35.505017;37.1565;73.9913;62.0935;20.6522;13.0435;7.6087;0;2.7186
06R_06V_04F_04M;lr201;2;1;06;04;04;66.6667;100;88.4615;20.5882;44.08935;13.452;23.293;20.4627;3.125;2.25;0.875;0;15.2861
06R_06V_04F_04M;lr202;2;1;06;04;04;33.3333;75;92.1053;46.1538;69.12955;11.03;49.374;30.202;2.3333;1.3333;1;0;0
06R_06V_04F_04M;lr203;2;1;06;04;04;16.6667;50;87.5;87.5;87.5;72.528;72.528;72.528;5.25;4.5;0.75;0;0.0207
06R_06V_04F_04M;lr204;2;1;06;04;04;33.3333;50;96.875;50;73.4375;28.982;44.807;36.8945;5.75;3.5;2.25;0;0
06R_06V_04F_04M;lr205;2;1;06;04;04;16.6667;50;100;100;100;59.981;59.981;59.981;2.75;2.5;0.25;0;0
08R_08V_02F_03M;lr101;1;1;08;02;03;100;100;76.4706;15.3846;35.909037;43.7565;66.2609;55.2647;13.0435;7.2464;5.7971;0;17.7172
08R_08V_02F_03M;lr102;1;1;08;02;03;75;100;68.4211;27.5862;45.738183;29.9586;73.1955;53.7939;10.6516;6.2657;4.386;0;0
08R_08V_02F_03M;lr103;1;1;08;02;03;50;66.6667;92.1053;73.0769;84.3244;72.613;90.4826;83.6163;15.2174;8.6957;6.5217;0;0.4817
08R_08V_02F_03M;lr104;1;1;08;02;03;50;100;81.8182;35;50.17045;60.0508;77.24;69.5854;7.8788;4.8485;3.0303;0;1.051
08R_08V_02F_03M;lr105;1;1;08;02;03;75;100;60.4651;13.4615;38.172583;33.3128;95.786;59.6152;11.6598;8.2305;3.4294;0;0
08R_08V_02F_04M;lr101;1;1;08;02;04;100;100;60.4651;17.3077;35.9357;43.7565;64.2652;54.6168;9.2391;5.4348;3.8043;0;17.7683
08R_08V_02F_04M;lr102;1;1;08;02;04;75;100;76.3158;27.5862;50.243883;29.9586;73.1955;53.4768;7.5188;4.6992;2.8195;0;0.2799
08R_08V_02F_04M;lr103;1;1;08;02;04;50;50;92.1053;68.75;80.35805;72.613;87.987;82.7826;15.2174;8.6957;6.5217;0;0.4954
08R_08V_02F_04M;lr104;1;1;08;02;04;50;75;81.8182;36.3636;54.882;60.0509;76.0291;69.2827;7.8788;4.8485;3.0303;0;1.0678
08R_08V_02F_04M;lr105;1;1;08;02;04;75;100;76.4706;16.2791;38.3265;33.3128;95.786;58.9005;8.2305;6.1728;2.0576;0;0
08R_08V_04F_03M;lr101;1;1;08;04;03;100;100;76.4706;18.6047;35.07445;50.2957;77.9652;62.6223;36.2319;21.7391;14.4928;0.6083;11.8464
08R_08V_04F_03M;lr102;1;1;08;04;03;62.5;100;79.3103;13.1579;43.65168;53.972;99.4615;72.0573;23.8928;16.317;7.5758;0;3.0965
08R_08V_04F_03M;lr103;1;1;08;04;03;87.5;100;65.3846;26.9231;47.870871;55.7304;78.7652;67.0758;32.6087;18.8406;13.7681;0;0
08R_08V_04F_03M;lr104;1;1;08;04;03;87.5;100;73.0769;5;43.594743;39.5492;64.2136;52.9501;31.0734;19.209;11.8644;0;0
08R_08V_04F_03M;lr105;1;1;08;04;03;75;100;76.4706;16.2791;38.3265;54.076;96.1065;67.6882;29.7845;20.2788;9.5057;0;0
08R_08V_04F_04M;lr101;1;1;08;04;04;100;100;50;18.6047;33.926113;48.6957;77.5913;61.5614;29.3478;16.3043;13.0435;1.9821;11.6034
08R_08V_04F_04M;lr102;1;1;08;04;04;62.5;100;79.3103;13.1579;43.79536;53.381100000000004;90.4229;70.1489;17.4825;12.2378;5.2448;0;1.7439
08R_08V_04F_04M;lr103;1;1;08;04;04;87.5;100;73.0769;21.875;48.816143;54.387;76.613;66.1801;23.913;14.1304;9.7826;0;0
08R_08V_04F_04M;lr104;1;1;08;04;04;87.5;100;57.6923;6.0606;39.445514;38.1627;64.2136;52.5907;22.0339;14.4068;7.6271;0;0
08R_08V_04F_04M;lr105;1;1;08;04;04;75;100;60.4651;13.4615;38.172583;52.3346;96.1065;66.7294;21.8631;15.2091;6.654;0;0.0377
