group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
06R_06V_02I_03M;lr101;1;1;06;02;03;100;100;60.4651;13.4615;33.057533;49.9087;65.2957;56.4551;18.6174;11.5275;7.0899;0.6359;14.6079
06R_06V_02I_03M;lr102;1;1;06;02;03;66.6667;100;50;10.4167;34.931775;26.8261;90.5522;58.3663;10.087;6.7391;3.3478;0;1.3596
06R_06V_02I_03M;lr103;1;1;06;02;03;50;66.6667;100;50;74.358967;56.0957;76.3739;65.8551;21.3065;14.2043;7.1022;0;0
06R_06V_02I_03M;lr104;1;1;06;02;03;50;33.3333;73.0769;30;57.5913;47.3522;73.4478;62.4841;28.7217;19.1478;9.5739;0;2.594
06R_06V_02I_03M;lr105;1;1;06;02;03;66.6667;66.6667;88.4615;13.4615;44.0854;31.387;72.9087;50.9337;21.9087;14.713;7.1957;0;5.45
06R_06V_02I_03M;lr201;2;1;06;02;03;50;100;86.5385;38.4615;57.352933;20.009;26.187;23.1847;2.69;1.7933;0.8967;0;31.0106
06R_06V_02I_03M;lr202;2;1;06;02;03;33.3333;100;100;50;75;22.875;37.729;30.302;2.6423;1.7493;0.893;3.4576;7.5778
06R_06V_02I_03M;lr203;2;1;06;02;03;33.3333;100;87.5;31.8182;59.6591;5.612;53.375;29.4935;4.699;3.148;1.551;0;0.7429
06R_06V_02I_03M;lr204;2;1;06;02;03;16.6667;100;100;100;100;54.624;54.624;54.624;2.284;1.4827;0.8013;0;0
06R_06V_02I_03M;lr205;2;1;06;02;03;16.6667;33.3333;95.3488;95.3488;95.3488;55.163;55.163;55.163;3.06;2.04;1.02;0;2.2896
06R_06V_02I_04M;lr101;1;1;06;02;04;100;100;76.4706;16.2791;34.4663;47.087;63.8174;54.9341;13.5033;8.3391;5.1641;0.6741;14.8874
06R_06V_02I_04M;lr102;1;1;06;02;04;66.6667;75;68.4211;13.1579;43.311425;26.8261;90.5522;58.3663;10.1304;6.7391;3.3913;0;1.3596
06R_06V_02I_04M;lr103;1;1;06;02;04;50;50;73.0769;50;61.538467;56.0957;76.3739;65.4507;25.0674;14.3326;10.7348;0;0
06R_06V_02I_04M;lr104;1;1;06;02;04;50;25;88.4615;46.1538;60.7051;45.5391;73.4478;61.8797;27.6652;18.4435;9.2217;0;2.594
06R_06V_02I_04M;lr105;1;1;06;02;04;66.6667;50;88.4615;20.5882;48.791175;31.387;72.9087;50.9337;21.9087;14.713;7.1957;0;5.45
06R_06V_02I_04M;lr201;2;1;06;02;04;50;75;86.5385;38.4615;57.352933;20.009;26.187;23.126;2.69;1.7933;0.8967;0.7905;30.3696
06R_06V_02I_04M;lr202;2;1;06;02;04;33.3333;75;84.2105;50;67.10525;22.875;37.729;30.302;2.811;1.852;0.959;0;3.0931
06R_06V_02I_04M;lr203;2;1;06;02;04;33.3333;50;87.5;31.8182;59.6591;5.612;53.375;29.4935;5.3935;4.632;0.7615;0.3447;0.7429
06R_06V_02I_04M;lr204;2;1;06;02;04;16.6667;75;93.75;93.75;93.75;53.606;53.606;53.606;2.2527;1.4513;0.8013;0;0
06R_06V_02I_04M;lr205;2;1;06;02;04;16.6667;50;82.6923;82.6923;82.6923;54.92;54.92;54.92;1.5225;1.0125;0.51;0;0
06R_06V_04I_03M;lr101;1;1;06;04;03;100;100;60.4651;17.3077;31.786883;29.1826;84.3391;56.5319;51.0391;26.5913;24.4478;0.0919;12.7355
06R_06V_04I_03M;lr102;1;1;06;04;03;66.6667;100;94.8276;5.2632;48.076425;39.0388;88.1121;66.1929;47.6825;34.342;13.3405;0.7767;1.0095
06R_06V_04I_03M;lr103;1;1;06;04;03;50;66.6667;59.375;26.9231;45.4327;42.9826;86.1913;65.0536;31.1304;23.5152;7.6152;0;0
06R_06V_04I_03M;lr104;1;1;06;04;03;50;100;60.6061;46.1538;51.419967;45.7652;86.4739;68.0492;36.071;19.4232;16.6478;0;0.5099
06R_06V_04I_03M;lr105;1;1;06;04;03;66.6667;100;88.4615;16.2791;48.99635;35.9391;71.0739;56.687;49.4884;25.0029;24.4855;0;1.5636
06R_06V_04I_03M;lr201;2;1;06;04;03;66.6667;100;88.4615;26.4706;51.544225;8.732;25.229;18.4817;11.3587;6.9037;4.455;0;17.2765
06R_06V_04I_03M;lr202;2;1;06;04;03;16.6667;100;87.5;87.5;87.5;54.787;54.787;54.787;7.578;5.4447;2.1333;0;0.2446
