group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
06R_06V_02F_03M;lr101;1;1;06;02;03;100;100;76.4706;13.4615;36.135517;43.2435;74.1739;56.5587;10.1449;7.2464;2.8986;0.4106;11.0742
06R_06V_02F_03M;lr102;1;1;06;02;03;50;66.6667;76.3158;52.6316;61.038033;80.0565;92.8826;87.829;10.8696;8.6957;2.1739;3.996;5.5814
06R_06V_02F_03M;lr103;1;1;06;02;03;66.6667;100;68.4211;34.6154;50.759125;39.6304;90.4304;66.0326;5.0725;4.3478;0.7246;0;0
06R_06V_02F_03M;lr104;1;1;06;02;03;50;33.3333;57.5;36.3636;47.1212;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_03M;lr105;1;1;06;02;03;100;100;50;20.5882;35.70625;31.387;60.6522;47.8333;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_03M;lr101;1;1;06;02;03;100;100;76.4706;13.4615;36.135517;43.2435;74.1739;56.5587;10.1449;7.2464;2.8986;0.4106;11.0742
06R_06V_02F_03M;lr102;1;1;06;02;03;50;66.6667;76.3158;44.8276;57.925;80.0565;92.8826;87.829;10.8696;8.6957;2.1739;3.996;5.5814
06R_06V_02F_03M;lr103;1;1;06;02;03;66.6667;100;81.25;23.6842;59.8874;39.6304;90.4304;66.0326;5.0725;4.3478;0.7246;0;0
06R_06V_02F_03M;lr104;1;1;06;02;03;50;33.3333;69.697;30;49.065667;38.2739;82.6087;62.5116;4.3478;4.3478;0;0;2.594
06R_06V_02F_03M;lr105;1;1;06;02;03;100;100;50;20.5882;35.70625;31.387;60.6522;47.8333;5.0725;4.3478;0.7246;0;3.9122
06R_06V_02F_03M;lr101;1;1;06;02;03;100;100;60.4651;20.5882;33.4403;43.2435;74.1739;56.5587;10.1449;7.2464;2.8986;0.4106;11.0742
