group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
06R_06V_02I_03M;lr101;1;1;06;02;03;100;100;60.4651;17.3077;32.718167;49.9087;68.7826;56.8196;14.2203;11.5478;2.6725;2.9939;14.3392
06R_06V_02I_03M;lr102;1;1;06;02;03;50;66.6667;68.4211;10.4167;42.945933;75.9304;80.4435;78.587;10.0435;10.0435;0;0;7.4304
06R_06V_02I_03M;lr103;1;1;06;02;03;50;66.6667;73.0769;59.375;64.663467;56.0957;76.6522;65.9478;17.8957;14.2978;3.5978;0;0
06R_06V_02I_03M;lr104;1;1;06;02;03;50;33.3333;57.5758;46.1538;53.7432;47.3522;73.4478;62.4841;19.1478;19.1478;0;0;2.594
06R_06V_02I_03M;lr105;1;1;06;02;03;66.6667;66.6667;88.4615;16.2791;46.790475;31.387;72.6957;51.363;15.0348;15.0348;0;0;5.287
06R_06V_02I_03M;lr101;1;1;06;02;03;100;100;60.4651;17.3077;32.718167;49.9087;68.7826;56.8196;14.2203;11.5478;2.6725;2.9939;14.3392
06R_06V_02I_03M;lr102;1;1;06;02;03;50;66.6667;95.8333;8.6207;51.484667;75.9304;80.4435;78.587;10.0435;10.0435;0;0;7.4304
06R_06V_02I_03M;lr103;1;1;06;02;03;50;66.6667;100;50;74.358967;56.0957;76.6522;65.9478;14.2043;14.2043;0;0;0
06R_06V_02I_03M;lr104;1;1;06;02;03;50;33.3333;57.5;46.1538;50.3846;47.3522;73.4478;62.4841;19.1478;19.1478;0;0;2.594
06R_06V_02I_03M;lr105;1;1;06;02;03;66.6667;66.6667;88.4615;20.5882;48.791175;31.387;72.6957;51.363;15.0348;15.0348;0;0;5.287
06R_06V_02I_03M;lr101;1;1;06;02;03;100;100;60.4651;17.3077;32.718167;49.9087;68.7826;56.8196;14.2203;11.5478;2.6725;2.9939;14.3392
06R_06V_02I_03M;lr102;1;1;06;02;03;50;66.6667;50;13.1579;35.995167;75.9304;80.4435;78.587;10.0435;10.0435;0;0;7.4304
06R_06V_02I_03M;lr103;1;1;06;02;03;50;66.6667;81.25;50;68.108967;56.0957;76.6522;65.9478;14.2043;14.2043;0;0;0
06R_06V_02I_03M;lr104;1;1;06;02;03;50;33.3333;73.0769;46.1538;62.9759;47.3522;73.4478;62.4841;19.1478;19.1478;0;0;2.594
06R_06V_02I_03M;lr105;1;1;06;02;03;66.6667;66.6667;88.4615;16.2791;42.877925;31.387;72.6957;51.363;15.0348;15.0348;0;0;5.287
06R_06V_02I_03M;lr101;1;1;06;02;03;100;100;60.4651;17.3077;32.718167;49.9087;68.7826;56.8196;14.2203;11.5478;2.6725;2.9939;14.3392
06R_06V_02I_03M;lr102;1;1;06;02;03;50;66.6667;68.4211;41.6667;53.3626;65.8217;90.5522;78.587;10.0435;10.0435;0;0;1.0038
06R_06V_02I_03M;lr103;1;1;06;02;03;50;66.6667;73.0769;50;63.832667;56.0957;76.6522;65.9478;14.2043;14.2043;0;0;0
06R_06V_02I_03M;lr104;1;1;06;02;03;50;33.3333;57.5;36.3636;47.1212;47.3522;73.4478;62.4841;19.1478;19.1478;0;0;2.594
06R_06V_02I_03M;lr105;1;1;06;02;03;66.6667;66.6667;88.4615;20.5882;48.791175;31.387;72.6957;51.363;15.0348;15.0348;0;0;5.287
06R_06V_02I_03M;lr101;1;1;06;02;03;100;100;60.4651;17.3077;32.718167;49.9087;68.7826;56.8196;14.2203;11.5478;2.6725;2.9939;14.3392
06R_06V_02I_03M;lr102;1;1;06;02;03;50;66.6667;68.4211;8.6207;45.8195;75.9304;80.4435;78.587;10.0435;10.0435;0;0;7.4304
06R_06V_02I_03M;lr103;1;1;06;02;03;50;66.6667;100;50;69.791667;56.0957;76.6522;65.9478;14.2043;14.2043;0;0;0
06R_06V_02I_03M;lr104;1;1;06;02;03;50;33.3333;88.4615;36.3636;65.967333;47.3522;73.4478;62.4841;19.1478;19.1478;0;0;2.594
