name;group;type;full_name;time;status;optimal;tle_feas;tle_not_feas;gap;obj_value;bestbound;numnodes;vi_config;best_obj;rpd
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;5.03;781.21;741.88;694034;1-29,35-45;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;7.99;781.21;718.8;701925;1-29,35-44,46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;4.31;781.21;747.51;679872;1-29,35-43,45-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;5.96;781.21;734.65;666989;1-29,35-42,44-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;2.81;781.21;759.27;770060;1-29,35-41,43-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;504.1;2;1;0;0;0;781.21;781.21;597333;1-29,35-40,42-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;355.14;2;1;0;0;0;781.21;781.21;400091;1-29,35-39,41-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;525.09;2;1;0;0;0;781.21;781.21;720771;1-29,35-38,40-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;1.93;781.21;766.1;704486;1-29,35-37,39-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.14;781.21;733.21;856209;1-29,35-36,38-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;1.8;781.21;767.12;859025;1-29,35,37-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;3.97;781.21;750.21;763831;1-29,36-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.13;781.21;733.29;857314;1-29,35-46;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;7.54;781.21;722.3;525097;1-29;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.02;9;0;1;0;5.92;781.21;735;564605;1-29,35;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;9.72;781.21;705.28;387080;1-29,36;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.72;781.21;728.7;581896;1-29,37;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;7.19;781.21;725.05;551475;1-29,38;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;573.66;2;1;0;0;0;781.21;781.21;473031;1-29,39;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.12;781.21;733.38;540329;1-29,40;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.9;781.21;727.32;481168;1-29,41;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.24;781.21;732.46;561722;1-29,42;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;3.99;781.21;750.06;515676;1-29,43;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.18;781.21;732.93;563524;1-29,44;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.02;9;0;1;0;8.82;781.21;712.28;549814;1-29,45;781.21;0
lr106;10R_10V_02F_04M;t1;lr106_t1_10R_10V_02F_04M;600.01;9;0;1;0;6.91;781.21;727.27;645210;1-29,46;781.21;0
lr107;06R_06V_02F_04M;t1;lr107_t1_06R_06V_02F_04M;0.36;2;1;0;0;0;689.69;689.69;322;1-29,35-45;689.69;0
lr107;06R_06V_02F_04M;t1;lr107_t1_06R_06V_02F_04M;0.28;2;1;0;0;0;689.69;689.69;344;1-29,35-44,46;689.69;0
lr107;06R_06V_02F_04M;t1;lr107_t1_06R_06V_02F_04M;0.41;2;1;0;0;0;689.69;689.69;364;1-29,35-43,45-46;689.69;0
