vi_config;feas_rate;arpd_score;gap_score;composite_score;solved
(35)-(39),(41)-(46);1;0.9189713799896733;0.8117720280963816;0.9102478026953517;5
(35),(37)-(46);1;1;0.6413265759758155;0.8804421919919386;4
(35)-(36),(38)-(46);1;0.945956112738656;0.634391393260425;0.860115835333027;4
(35)-(44),(46);0.9375;0.8332331184074149;0.7674046412376637;0.8460459198816929;4
(36)-(46);0.875;0.5642664295795552;1;0.8130888098598517;4
(35)-(38),(40)-(46);0.9375;0.7893397197558143;0.6719125100026677;0.7995840765861607;5
(35)-(41),(43)-(46);0.9375;0.7713714566750467;0.6357250822441538;0.7815321796397335;4
(45);0.9375;0.751928910559325;0.6326131412821203;0.7740140172804818;4
(35)-(37),(39)-(46);0.875;0.625426049275672;0.7475771316795592;0.7493343936517437;4
(35)-(43),(45)-(46);0.875;0.6447856685574727;0.7090779763492485;0.7429545483022405;4
(40);0.875;0.5540862037548708;0.6440828665421894;0.6910563567656868;4
(35)-(42),(44)-(46);0.875;0.6362479050623939;0.5305414777273945;0.6805964609299294;4
(35)-(46);0.8125;0.4442687776285541;0.6079843513825918;0.6215843763370487;3
(36);0.8125;0.4069680895738419;0.5139148217302396;0.5777943037680272;3
(35)-(40),(42)-(46);0.8125;0.4158962087926461;0.38579176669334125;0.5380626584953291;4
(35)-(45);0.8125;0.4612220208013753;0.29225571263448025;0.5219925778119519;3
(41);0.75;0.21703156722101857;0.5707299724370947;0.5125871798860377;4
(44);0.75;0.2321810461623286;0.523606295012004;0.5019291137247776;4
(42);0.75;0.21805779518567858;0.4165555259180227;0.4615377737012338;3
None;0.75;0.1917253192487679;0.42713612518893984;0.4562871481459026;3
(46);0.6875;0.03575502995241253;0.554636792033431;0.4259639406619478;4
(38);0.75;0.2452587663144522;0.23624077531786292;0.4104998472107717;3
(39);0.75;0.23967697402058674;0.20778874366497735;0.39915523922852136;4
(37);0.6875;0.03095684309045832;0.256335022672713;0.3249306219210571;3
(43);0.6875;0.03084115782771235;0.16519960878456508;0.2945135888707591;3
(35);0.6875;0;0;0.22916666666666666;3
