name;group;type;full_name;time;status;optimal;tle_feas;tle_not_feas;gap;obj_value;bestbound;numnodes;constraints_used_mip_str
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;8.97;1375.11;1251.77;1616197;1-29,35-45
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;7.75;1375.11;1268.6;1699709;1-29,35-44,46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;7.62;1375.11;1270.38;1784178;1-29,35-43,45-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;7.9;1375.11;1266.5;2203872;1-29,35-42,44-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;7.33;1375.11;1274.32;1893496;1-29,35-41,43-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;7.33;1375.11;1274.32;2238287;1-29,35-40,42-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;7.77;1375.11;1268.33;1692165;1-29,35-39,41-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;7.32;1375.11;1274.46;1748518;1-29,35-38,40-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;2.59;1375.11;1339.46;1460949;1-29,35-37,39-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;7.77;1375.11;1268.33;1690189;1-29,35-36,38-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;7.77;1375.11;1268.2;1747378;1-29,35,37-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;7.91;1375.11;1266.34;1674674;1-29,36-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600;9;0;1;0;7.77;1375.11;1268.33;1690386;1-29,35-46
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;5.56;1375.11;1298.7;74429;1-29
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;9.36;1375.11;1246.44;274672;1-29,35
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;9.15;1375.11;1249.35;659334;1-29,36
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;5.56;1375.11;1298.7;74389;1-29,37
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;7.14;1375.11;1276.97;475347;1-29,38
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;9.81;1375.11;1240.15;376040;1-29,39
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;5.52;1375.11;1299.23;74997;1-29,40
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;6.74;1375.11;1282.37;1020670;1-29,41
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;8.06;1375.11;1264.34;775847;1-29,42
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;6.15;1375.11;1290.56;850673;1-29,43
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;6.82;1375.11;1281.28;370024;1-29,44
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;8.37;1375.11;1259.96;579823;1-29,45
lr109;12R_12V_04F_04M;t1;lr109_t1_12R_12V_04F_04M;600.01;9;0;1;0;5.99;1375.11;1292.78;1464961;1-29,46
