name;group;type;full_name;time;status;optimal;tle_feas;tle_not_feas;gap;obj_value;bestbound;numnodes;constraints_used_mip_str
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.09;9;0;1;0;100;1195.33;0;1938;1-29,35-45
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.12;9;0;0;1;NA;Inf;0;1857;1-29,35-44,46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.07;9;0;1;0;100;1189.39;0;2719;1-29,35-43,45-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.08;9;0;0;1;NA;Inf;0;1743;1-29,35-42,44-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.29;9;0;1;0;100;1558.95;0;2019;1-29,35-41,43-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.21;9;0;0;1;NA;Inf;0;1947;1-29,35-40,42-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.13;9;0;1;0;100;1544.6;0;2622;1-29,35-39,41-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.14;9;0;1;0;100;1374.71;0;2832;1-29,35-38,40-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.09;9;0;1;0;100;1444.87;0;1787;1-29,35-37,39-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.13;9;0;1;0;100;1546.75;0;2200;1-29,35-36,38-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.03;9;0;1;0;100;1381.41;0;2489;1-29,35,37-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.06;9;0;1;0;100;1574;0;2413;1-29,36-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.06;9;0;0;1;NA;Inf;0;2084;1-29,35-46
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.08;9;0;0;1;NA;Inf;0;1494;1-29
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.1;9;0;0;1;NA;Inf;0;2227;1-29,35
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.02;9;0;0;1;NA;Inf;0;1174;1-29,36
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.15;9;0;0;1;NA;Inf;0;1555;1-29,37
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.12;9;0;0;1;NA;Inf;0;2338;1-29,38
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.19;9;0;1;0;100;1135.81;0;1825;1-29,39
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.16;9;0;1;0;100;1232.24;0;2443;1-29,40
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.06;9;0;0;1;NA;Inf;0;2421;1-29,41
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.06;9;0;0;1;NA;Inf;0;1834;1-29,42
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.02;9;0;0;1;NA;Inf;0;2339;1-29,43
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.05;9;0;0;1;NA;Inf;0;2082;1-29,44
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.14;9;0;1;0;100;1380.72;0;2032;1-29,45
lr209;12R_12V_02I_03M;t2;lr209_t2_12R_12V_02I_03M;600.09;9;0;0;1;NA;Inf;0;1312;1-29,46
