group;space1;Sol_t1;space2;min_sol_t1;mean_sol_t1;time_s_t1;ttb_s_t1;space3;Sol_t2;space4;min_sol_t2;mean_sol_t2;time_s_t2;ttb_s_t2
06R_06V_02F_03M;hspace{0.05cm};611.304;hspace{0.05cm};617.092;617.092;96.8146;0.3092;hspace{0.1cm};601.768;hspace{0.05cm};635.452;635.452;113.20219999999999;1.4638
06R_06V_02F_04M;hspace{0.05cm};606.03;hspace{0.05cm};611.87;611.87;100.5582;0.3256;hspace{0.1cm};601.52;hspace{0.05cm};635.342;635.342;115.92699999999999;3.0356
06R_06V_04F_03M;hspace{0.05cm};778.448;hspace{0.05cm};789.026;789.026;89.76859999999999;0.4056;hspace{0.1cm};713.2719999999999;hspace{0.05cm};741.33;741.33;130.93720000000002;8.1234
06R_06V_04F_04M;hspace{0.05cm};770.46;hspace{0.05cm};783.336;783.336;93.735;0.42160000000000003;hspace{0.1cm};697.106;hspace{0.05cm};725.22;725.22;133.282;1.9376
08R_08V_02F_03M;hspace{0.05cm};855.864;hspace{0.05cm};858.49;858.49;133.1952;0.7934000000000001;hspace{0.1cm};756.582;hspace{0.05cm};764.222;764.2868;141.6196;11.982
08R_08V_02F_04M;hspace{0.05cm};848.184;hspace{0.05cm};851.486;851.486;136.1696;0.8234;hspace{0.1cm};754.0260000000001;hspace{0.05cm};761.04;761.09760000000006;146.3844;17.3538
08R_08V_04F_03M;hspace{0.05cm};1084.826;hspace{0.05cm};1092.18;1092.18;70.3054;1.0342;hspace{0.1cm};940.12;hspace{0.05cm};954.794;956.9986;174.3096;27.4168
08R_08V_04F_04M;hspace{0.05cm};1068.07;hspace{0.05cm};1074.152;1074.152;114.7534;1.4716;hspace{0.1cm};937.406;hspace{0.05cm};950.098;952.4198;180.0818;27.596
10R_10V_02F_03M;hspace{0.05cm};1064.174;hspace{0.05cm};1070.362;1070.5128;92.2402;6.6942;hspace{0.1cm};897.628;hspace{0.05cm};881.372;884.4334;181.1816;69.63
10R_10V_02F_04M;hspace{0.05cm};1058.77;hspace{0.05cm};1062.59;1062.6072;134.891;7.0376;hspace{0.1cm};882.606;hspace{0.05cm};878.06;882.567;189.1814;65.5204
10R_10V_04F_03M;hspace{0.05cm};1342.228;hspace{0.05cm};1361.22;1361.8294;52.7566;7.2212;hspace{0.1cm};Inf;hspace{0.05cm};1116.726;1126.5876;226.8156;116.3224
10R_10V_04F_04M;hspace{0.05cm};1325.67;hspace{0.05cm};1331.878;1331.878;105.7736;5.5004;hspace{0.1cm};Inf;hspace{0.05cm};1111.74;1117.6226;238.7386;124.458
12R_12V_02F_03M;hspace{0.05cm};1302.228;hspace{0.05cm};1307.48;1307.48;114.1058;3.1148;hspace{0.1cm};1090.674;hspace{0.05cm};1063.606;1073.246;219.72379999999998;109.2652
12R_12V_02F_04M;hspace{0.05cm};1291.958;hspace{0.05cm};1297.396;1297.396;143.8256;4.3676;hspace{0.1cm};1085.132;hspace{0.05cm};1059.268;1070.6852;233.5584;111.7456
12R_12V_04F_03M;hspace{0.05cm};1584.132;hspace{0.05cm};1591.636;1597.1408;57.153400000000005;25.4738;hspace{0.1cm};Inf;hspace{0.05cm};1278.108;1294.3694;285.4814;119.7754
12R_12V_04F_04M;hspace{0.05cm};1558.532;hspace{0.05cm};1572.456;1573.0578;108.7408;53.3434;hspace{0.1cm};Inf;hspace{0.05cm};1274.66;1288.0578;303.6364;147.966
