group;Sol.;min. sol.;mean sol.;time (s);ttb (s)
06R_06V_02F_03M;601.768;635.452;635.452;113.20219999999999;1.4638
06R_06V_02F_04M;601.52;635.342;635.342;115.92699999999999;3.0356
06R_06V_04F_03M;713.2719999999999;741.33;741.33;130.93720000000002;8.1234
06R_06V_04F_04M;697.106;725.22;725.22;133.282;1.9376
08R_08V_02F_03M;756.582;764.222;764.2868;141.6196;11.982
08R_08V_02F_04M;754.0260000000001;761.04;761.09760000000006;146.3844;17.3538
08R_08V_04F_03M;940.12;954.794;956.9986;174.3096;27.4168
08R_08V_04F_04M;937.406;950.098;952.4198;180.0818;27.596
10R_10V_02F_03M;897.628;881.372;884.4334;181.1816;69.63
10R_10V_02F_04M;882.606;878.06;882.567;189.1814;65.5204
10R_10V_04F_03M;Inf;1116.726;1126.5876;226.8156;116.3224
10R_10V_04F_04M;Inf;1111.74;1117.6226;238.7386;124.458
12R_12V_02F_03M;1090.674;1063.606;1073.246;219.72379999999998;109.2652
12R_12V_02F_04M;1085.132;1059.268;1070.6852;233.5584;111.7456
12R_12V_04F_03M;Inf;1278.108;1294.3694;285.4814;119.7754
12R_12V_04F_04M;Inf;1274.66;1288.0578;303.6364;147.966
