group;space1;Sol_t1;space2;min_sol_t1;mean_sol_t1;time_s_t1;ttb_s_t1;space3;Sol_t2;space4;min_sol_t2;mean_sol_t2;time_s_t2;ttb_s_t2
06R_06V_02I_03M;hspace{0.05cm};534.0360000000001;hspace{0.05cm};537.016;537.016;88.44500000000001;0.271;hspace{0.1cm};597.864;hspace{0.05cm};647.212;647.212;96.0398;4.933
06R_06V_02I_04M;hspace{0.05cm};528.446;hspace{0.05cm};531.412;531.412;88.8354;0.3334;hspace{0.1cm};594.99;hspace{0.05cm};645.024;645.024;98.05;1.5048000000000001
06R_06V_04I_03M;hspace{0.05cm};566.8679999999999;hspace{0.05cm};568.912;568.912;55.9382;0.2648;hspace{0.1cm};600.748;hspace{0.05cm};656.472;656.472;112.8646;2.6176
06R_06V_04I_04M;hspace{0.05cm};557.762;hspace{0.05cm};559.164;559.164;90.3964;0.3422;hspace{0.1cm};598.21;hspace{0.05cm};652.494;652.494;116.1444;1.4088
08R_08V_02I_03M;hspace{0.05cm};674.076;hspace{0.05cm};675.9159999999999;675.9159999999999;95.56400000000001;0.7554000000000001;hspace{0.1cm};715.74;hspace{0.05cm};731.142;732.3682;124.9474;27.7706
08R_08V_02I_04M;hspace{0.05cm};674.004;hspace{0.05cm};676.092;676.092;104.2564;0.6396;hspace{0.1cm};712.542;hspace{0.05cm};727.264;728.609;129.0426;23.8892
08R_08V_04I_03M;hspace{0.05cm};779.23;hspace{0.05cm};779.304;779.304;62.7542;3.5362;hspace{0.1cm};766.744;hspace{0.05cm};772.3580000000001;774.7256;148.0908;30.561
08R_08V_04I_04M;hspace{0.05cm};758.48;hspace{0.05cm};760.858;760.858;95.2108;3.5460000000000003;hspace{0.1cm};769.506;hspace{0.05cm};768.846;769.1564;153.9656;33.4936
10R_10V_02I_03M;hspace{0.05cm};854.234;hspace{0.05cm};856.61;856.61;100.6264;6.9112;hspace{0.1cm};782.37;hspace{0.05cm};815.596;818.4568;155.513;29.14
10R_10V_02I_04M;hspace{0.05cm};841.112;hspace{0.05cm};845.266;845.3096;113.0424;7.9434;hspace{0.1cm};782.9;hspace{0.05cm};814.554;816.9084;162.96699999999998;40.2686
10R_10V_04I_03M;hspace{0.05cm};840.7379999999999;hspace{0.05cm};849.408;849.6654;75.127;11.921800000000001;hspace{0.1cm};Inf;hspace{0.05cm};920.614;928.1442000000001;185.2116;80.0458
10R_10V_04I_04M;hspace{0.05cm};827.114;hspace{0.05cm};833.792;833.8064;119.34899999999999;13.268199999999998;hspace{0.1cm};Inf;hspace{0.05cm};911.722;915.541;208.8028;96.542
12R_12V_02I_03M;hspace{0.05cm};1045.282;hspace{0.05cm};1050.76;1051.0452;94.1504;26.440800000000003;hspace{0.1cm};Inf;hspace{0.05cm};1004.23;1016.116;192.954;81.6584
12R_12V_02I_04M;hspace{0.05cm};1025.31;hspace{0.05cm};1030.008;1030.1988000000001;113.8302;30.25;hspace{0.1cm};Inf;hspace{0.05cm};1004.69;1013.5088;203.2092;91.8638
12R_12V_04I_03M;hspace{0.05cm};955.1080000000001;hspace{0.05cm};965.214;968.9494;88.2928;24.6158;hspace{0.1cm};Inf;hspace{0.05cm};1039.114;1054.8024;243.74699999999999;111.4048
12R_12V_04I_04M;hspace{0.05cm};946.1320000000001;hspace{0.05cm};953.824;954.2184;135.4966;34.0364;hspace{0.1cm};Inf;hspace{0.05cm};1032.898;1045.9966;267.789;143.41740000000001
