group;Sol.;min. sol.;mean sol.;time (s);ttb (s)
06R_06V_02I_03M;534.0360000000001;537.016;537.016;88.44500000000001;0.271
06R_06V_02I_04M;528.446;531.412;531.412;88.8354;0.3334
06R_06V_04I_03M;566.8679999999999;568.912;568.912;55.9382;0.2648
06R_06V_04I_04M;557.762;559.164;559.164;90.3964;0.3422
08R_08V_02I_03M;674.076;675.9159999999999;675.9159999999999;95.56400000000001;0.7554000000000001
08R_08V_02I_04M;674.004;676.092;676.092;104.2564;0.6396
08R_08V_04I_03M;779.23;779.304;779.304;62.7542;3.5362
08R_08V_04I_04M;758.48;760.858;760.858;95.2108;3.5460000000000003
10R_10V_02I_03M;854.234;856.61;856.61;100.6264;6.9112
10R_10V_02I_04M;841.112;845.266;845.3096;113.0424;7.9434
10R_10V_04I_03M;840.7379999999999;849.408;849.6654;75.127;11.921800000000001
10R_10V_04I_04M;827.114;833.792;833.8064;119.34899999999999;13.268199999999998
12R_12V_02I_03M;1045.282;1050.76;1051.0452;94.1504;26.440800000000003
12R_12V_02I_04M;1025.31;1030.008;1030.1988000000001;113.8302;30.25
12R_12V_04I_03M;955.1080000000001;965.214;968.9494;88.2928;24.6158
12R_12V_04I_04M;946.1320000000001;953.824;954.2184;135.4966;34.0364
