group;Sol.;min. sol.;mean sol.;time (s);ttb (s)
06R_06V_02F_03M;611.304;617.092;617.092;96.8146;0.3092
06R_06V_02F_04M;606.03;611.87;611.87;100.5582;0.3256
06R_06V_04F_03M;778.448;789.026;789.026;89.76859999999999;0.4056
06R_06V_04F_04M;770.46;783.336;783.336;93.735;0.42160000000000003
08R_08V_02F_03M;855.864;858.49;858.49;133.1952;0.7934000000000001
08R_08V_02F_04M;848.184;851.486;851.486;136.1696;0.8234
08R_08V_04F_03M;1084.826;1092.18;1092.18;70.3054;1.0342
08R_08V_04F_04M;1068.07;1074.152;1074.152;114.7534;1.4716
10R_10V_02F_03M;1064.174;1070.362;1070.5128;92.2402;6.6942
10R_10V_02F_04M;1058.77;1062.59;1062.6072;134.891;7.0376
10R_10V_04F_03M;1342.228;1361.22;1361.8294;52.7566;7.2212
10R_10V_04F_04M;1325.67;1331.878;1331.878;105.7736;5.5004
12R_12V_02F_03M;1302.228;1307.48;1307.48;114.1058;3.1148
12R_12V_02F_04M;1291.958;1297.396;1297.396;143.8256;4.3676
12R_12V_04F_03M;1584.132;1591.636;1597.1408;57.153400000000005;25.4738
12R_12V_04F_04M;1558.532;1572.456;1573.0578;108.7408;53.3434
